,file name,label,vanti,train \ test
18,1A1B6_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-11-08_06-50-38.BMP,0,0,0
19,1P384_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-12-26_22-11-27.BMP,0,0,0
20,2RLH4_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX4DY11SDX2SDY8_2020-11-02_17-18-11.BMP,0,1,0
21,2RLHG_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX9DY12SDX2SDY10_2020-12-22_12-08-10.BMP,0,1,0
22,2RLHK_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX9DY12SDX2SDY10_2020-11-11_10-36-28.BMP,0,1,0
23,2RLLG_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX9DY12SDX2SDY9_2020-11-08_20-22-02.BMP,0,1,0
24,2RLTY_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX9DY12SDX2SDY10_2020-12-22_11-07-01.BMP,0,1,1
25,3AIFK_FSGB_VE_MEAS_FIB_{MEASURELB}_P001_DX10DY9SDX7SDY17_2020-11-16_00-16-00.BMP,0,0,0
26,3AIFK_FSGB_VE_MEAS_FIB_{MEASURELB}_P003_DX6DY11SDX7SDY17_2020-11-16_00-16-00.BMP,0,0,0
27,3AIGO_FSGB_VE_MEAS_FIB_{MEASURELB}_P001_DX10DY9SDX7SDY18_2020-12-22_21-47-17.BMP,0,0,1
28,3AIHQ_FSGB_VE_MEAS_FIB_{MEASURELB}_P008_DX14DY6SDX7SDY17_2020-11-13_19-39-24.BMP,0,0,0
29,3AILY_FSGB_VE_MEAS_FIB_{MEASURELB}_P009_DX10DY3SDX7SDY17_2020-11-18_12-53-50.BMP,0,0,0
30,3AIOA_FSGB_VE_MEAS_FIB_{MEASURELB}_P008_DX14DY6SDX7SDY18_2020-11-21_23-15-36.BMP,0,0,1
31,3AIOC_FSGB_VE_MEAS_FIB_{MEASURELB}_P001_DX10DY9SDX7SDY18_2020-12-12_13-28-13.BMP,0,0,0
32,3AIPG_FSGB_VE_MEAS_FIB_{MEASURELB}_P008_DX14DY6SDX7SDY18_2020-11-06_04-26-29.BMP,0,0,1
33,3AIQ8_FSGB_VE_MEAS_FIB_{MEASURELB}_P001_DX10DY9SDX7SDY18_2020-12-01_17-33-29.BMP,0,0,1
34,3AIVG_FSGB_VE_MEAS_FIB_{MEASURELB}_P004_DX14DY11SDX7SDY18_2020-11-01_02-28-30.BMP,0,0,0
35,3AIWQ_FSGB_VE_MEAS_FIB_{MEASURELB}_P002_DX10DY14SDX7SDY18_2020-11-24_05-00-45.BMP,0,0,0
36,3AIWY_FSGB_VE_MEAS_FIB_{MEASURELB}_P004_DX14DY11SDX7SDY17_2020-11-09_13-21-43.BMP,0,0,1
37,3AIXE_FSGB_VE_MEAS_FIB_{MEASURELB}_P009_DX10DY3SDX7SDY17_2020-11-05_23-41-11.BMP,0,0,0
38,3AIXG_FSGB_VE_MEAS_FIB_{MEASURELB}_P001_DX10DY9SDX7SDY18_2020-11-11_00-38-12.BMP,0,0,0
39,3AIXG_FSGB_VE_MEAS_FIB_{MEASURELB}_P004_DX14DY11SDX7SDY18_2020-11-11_00-38-12.BMP,0,0,1
40,3AIXU_FSGB_VE_MEAS_FIB_{MEASURELB}_P004_DX14DY11SDX7SDY18_2020-11-10_04-49-27.BMP,0,0,0
41,3AIYM_FSGB_VE_MEAS_FIB_{MEASURELB}_P004_DX14DY11SDX7SDY18_2020-11-13_20-09-09.BMP,0,0,0
42,3AIYM_FSGB_VE_MEAS_FIB_{MEASURELB}_P006_DX17DY9SDX7SDY18_2020-11-13_20-09-09.BMP,0,0,1
43,6S3SK_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-12-04_00-37-04.BMP,0,0,1
44,6S3TC_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-12-04_02-40-56.BMP,0,0,0
45,H51F2_FSGB_VE_MEAS_FIB_{MEASURELB}_P001_DX10DY9SDX7SDY18_2020-12-28_17-53-50.BMP,0,0,1
46,H51F2_FSGB_VE_MEAS_FIB_{MEASURELB}_P007_DX6DY6SDX7SDY18_2020-12-28_17-53-50.BMP,0,0,1
47,S5128_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-12-12_16-21-06.BMP,0,0,1
48,U8KYW_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-12-28_19-01-38.BMP,0,0,0
49,U8L4U_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-11-09_19-51-34.BMP,0,0,0
50,U8LLY_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-27_07-27-06.BMP,0,0,0
51,U8LLY_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY18_2020-11-27_07-27-06.BMP,0,0,1
52,U8LY2_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY18_2020-11-29_03-00-22.BMP,0,0,1
53,U8M4G_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY18_2020-11-28_01-57-52.BMP,0,0,0
54,U8M70_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY18_2020-12-13_02-36-20.BMP,0,0,0
55,U8M78_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-12-24_04-13-11.BMP,0,0,1
56,U8MBY_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-12-14_09-42-17.BMP,0,0,1
57,U8MEM_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-12-27_20-40-53.BMP,0,0,0
58,U8MEO_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-12-16_16-05-46.BMP,0,0,1
59,U8MEO_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-12-16_16-05-46.BMP,0,0,0
60,U8MEQ_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-12-02_23-37-14.BMP,0,0,0
61,U8MEQ_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-12-02_23-37-14.BMP,0,0,1
62,U8MF2_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-12-14_17-58-37.BMP,0,0,1
63,U8MF2_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-12-14_17-58-37.BMP,0,0,0
64,U8MF2_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-12-14_17-58-37.BMP,0,0,0
65,V91MS_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-18_15-50-45.BMP,0,0,1
66,V91W2_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-12-18_17-50-11.BMP,0,0,1
67,V9224_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-11-18_13-53-40.BMP,0,0,1
68,V9224_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-18_13-53-40.BMP,0,0,1
69,V9260_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY17_2020-11-02_12-46-03.BMP,0,0,0
70,W40CK_FSGB_VE_MEAS_FIB_{MEASURELB}_P003_DX6DY11SDX7SDY18_2020-11-07_17-39-06.BMP,0,0,0
71,W407G_FSGB_VE_MEAS_FIB_{MEASURELB}_P009_DX10DY3SDX7SDY18_2020-12-30_23-03-23.BMP,0,0,0
72,1A1A2_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-12-01_02-33-19.BMP,0,0,0
73,1A1A4_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY17_2020-12-24_12-07-10.BMP,0,0,0
74,1A1A4_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY13_2020-12-24_12-07-10.BMP,0,0,0
75,1A1A4_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY17_2020-12-24_12-07-10.BMP,0,0,0
76,1A1A4_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY17_2020-12-24_12-07-10.BMP,0,0,0
77,1A1A4_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY17_2020-12-24_12-07-10.BMP,0,0,0
78,1A1A4_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY17_2020-12-24_12-07-10.BMP,0,0,0
79,1A1A4_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY17_2020-12-24_12-07-10.BMP,0,0,1
80,1A1A6_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-11-18_19-09-34.BMP,0,0,0
81,1A1A6_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-11-18_19-09-34.BMP,0,0,0
82,1A1A6_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-18_19-09-34.BMP,0,0,0
83,1A1A8_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-11-22_15-20-57.BMP,0,0,0
84,1A1AE_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-12-13_08-14-30.BMP,0,0,1
85,1A1AE_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-12-13_08-14-30.BMP,0,0,0
86,1A1AE_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-12-13_08-14-30.BMP,0,0,0
87,1A1AG_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY16_2020-12-20_00-18-48.BMP,0,0,0
88,1A1AG_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-12-19_15-44-54.BMP,0,0,0
89,1A1AG_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY16_2020-12-20_00-18-48.BMP,0,0,1
90,1A1AG_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX10DY9SDX7SDY16_2020-12-20_00-18-48.BMP,0,0,0
91,1A1AG_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-12-19_15-44-54.BMP,0,0,0
92,1A1AI_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY18_2020-12-01_21-00-06.BMP,0,0,1
93,1A1AI_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-12-01_21-00-06.BMP,0,0,1
94,1A1AI_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-12-01_21-00-06.BMP,0,0,1
95,1A1AI_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-12-01_21-00-06.BMP,0,0,0
96,1A1AI_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-12-01_21-00-06.BMP,0,0,0
97,1A1AI_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY18_2020-12-01_21-00-06.BMP,0,0,0
98,1A1AK_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-11-19_10-54-01.BMP,0,0,0
99,1A1AK_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-19_10-54-01.BMP,0,0,0
100,1A1AM_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-12-20_19-30-52.BMP,0,0,1
101,1A1AM_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY18_2020-12-20_19-30-52.BMP,0,0,0
102,1A1AM_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-12-20_19-30-52.BMP,0,0,0
103,1A1AM_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-12-20_19-30-52.BMP,0,0,0
104,1A1AM_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-12-20_19-30-52.BMP,0,0,0
105,1A1AM_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-12-20_19-30-52.BMP,0,0,0
106,1A1AM_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-12-20_19-30-52.BMP,0,0,1
107,1A1AM_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY18_2020-12-20_19-30-52.BMP,0,0,0
108,1A1AO_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-12-22_08-02-14.BMP,0,0,0
109,1A1AS_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-11-25_15-15-09.BMP,0,0,0
110,1A1AS_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY18_2020-11-25_15-15-09.BMP,0,0,0
111,1A1AS_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY18_2020-11-25_15-15-09.BMP,0,0,0
112,1A1B0_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY18_2020-12-22_03-15-44.BMP,0,0,0
113,1A1B0_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-12-22_03-15-44.BMP,0,0,1
114,1A1B2_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY16_2020-12-18_03-57-10.BMP,0,0,0
115,1A1B2_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY16_2020-12-18_03-57-10.BMP,0,0,0
116,1A1B2_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY16_2020-12-18_03-57-10.BMP,0,0,0
117,1A1B2_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX17DY9SDX7SDY16_2020-12-18_03-57-10.BMP,0,0,1
118,1A1B2_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX14DY6SDX7SDY16_2020-12-18_03-57-10.BMP,0,0,0
119,1A1B2_FSGB_VE_MEAS_FIB_{MEASURE}_P010_DX10DY3SDX7SDY16_2020-12-18_03-57-10.BMP,0,0,0
120,1A1B6_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-11-08_06-50-38.BMP,0,0,0
121,1A1B6_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-11-08_06-50-38.BMP,0,0,1
122,1A1BA_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY17_2020-12-23_22-05-12.BMP,0,0,0
123,1A1BA_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY17_2020-12-23_22-05-12.BMP,0,0,0
124,1A1BA_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-12-21_02-47-45.BMP,0,0,0
125,1A1BA_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY17_2020-12-23_22-05-12.BMP,0,0,0
126,1A1BA_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY17_2020-12-23_22-05-12.BMP,0,0,0
127,1A1BA_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-12-21_02-47-45.BMP,0,0,0
128,1A1BA_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY17_2020-12-23_22-05-12.BMP,0,0,0
129,1A1BA_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-12-21_02-47-45.BMP,0,0,0
130,1A1BA_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY13_2020-12-23_22-05-12.BMP,0,0,0
131,1A1BE_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-11-02_01-49-46.BMP,0,0,1
132,1A1BE_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY18_2020-11-02_01-49-46.BMP,0,0,0
133,1A1BE_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-11-02_01-49-46.BMP,0,0,0
134,1A1BE_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-11-02_01-49-46.BMP,0,0,0
135,1A1BE_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-11-02_01-49-46.BMP,0,0,1
136,1A1BE_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-11-02_01-49-46.BMP,0,0,0
137,1A1BE_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-11-02_01-49-46.BMP,0,0,0
138,1A1BE_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-02_01-49-46.BMP,0,0,1
139,1A1BE_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY18_2020-11-02_01-49-46.BMP,0,0,0
140,1A1BI_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-12-24_07-58-33.BMP,0,0,1
141,1A1BI_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-12-24_07-58-33.BMP,0,0,0
142,1A1BI_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-12-24_07-58-33.BMP,0,0,0
143,1A1BI_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-12-24_07-58-33.BMP,0,0,0
144,1A1BK_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-11-28_09-47-32.BMP,0,0,0
145,1A1BK_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-11-28_09-47-32.BMP,0,0,1
146,1A1BK_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-11-28_09-47-32.BMP,0,0,0
147,1A1BK_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-11-28_09-47-32.BMP,0,0,0
148,1A1BK_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-28_09-47-32.BMP,0,0,1
149,1A1BK_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY18_2020-11-28_09-47-32.BMP,0,0,0
150,1A1BO_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-12-24_00-24-47.BMP,0,0,0
151,1A1BO_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-12-24_00-24-47.BMP,0,0,0
152,1A1BO_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-12-24_00-24-47.BMP,0,0,1
153,1A1BO_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-12-24_00-24-47.BMP,0,0,0
154,1A1BO_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-12-24_00-24-47.BMP,0,0,1
155,1A1C6_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY14_2020-12-29_09-36-10.BMP,0,0,1
156,1A1C6_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-12-29_09-36-10.BMP,0,0,1
157,1A1C6_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY14_2020-12-29_09-36-10.BMP,0,0,0
158,1A1CG_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-12-13_09-53-50.BMP,0,0,0
159,1A1CG_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-12-13_09-53-50.BMP,0,0,0
160,1A1D8_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY17_2020-12-30_21-00-54.BMP,0,0,0
161,1A1D8_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY13_2020-12-30_21-00-54.BMP,0,0,0
162,1A1D8_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY17_2020-12-30_21-00-54.BMP,0,0,0
163,1A1D8_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY17_2020-12-30_21-00-54.BMP,0,0,1
164,1A1D8_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY17_2020-12-30_21-00-54.BMP,0,0,1
165,1A1EE_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY11SDX7SDY18_2020-11-22_13-08-15.BMP,0,0,1
166,1A1EE_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX3DY9SDX7SDY18_2020-11-22_13-08-15.BMP,0,0,0
167,1A1IU_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-11-18_14-58-55.BMP,0,0,0
168,1A1IU_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-11-18_14-58-55.BMP,0,0,0
169,1A1IU_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-11-18_14-58-55.BMP,0,0,1
170,1A1IU_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-11-18_14-58-55.BMP,0,0,0
171,1A1IU_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-11-18_14-58-55.BMP,0,0,0
172,1A1IU_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY18_2020-11-18_14-58-55.BMP,0,0,0
173,1A1IW_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-12-27_21-30-57.BMP,0,0,0
174,1A1IW_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-12-27_21-30-57.BMP,0,0,1
175,1A1IW_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-12-27_21-30-57.BMP,0,0,0
176,1A1IW_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-12-27_21-30-57.BMP,0,0,1
177,1A1IW_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-12-27_21-30-57.BMP,0,0,1
178,1A1PA_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-12-11_09-52-30.BMP,0,0,0
179,1A1PA_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-12-12_07-51-19.BMP,0,0,0
180,1A1PA_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY14SDX7SDY16_2020-12-12_00-01-21.BMP,0,0,0
181,1A1PA_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX6DY11SDX7SDY16_2020-12-12_00-01-21.BMP,0,0,0
182,1A1PA_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY18_2020-12-12_07-51-19.BMP,0,0,1
183,1A1PA_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-12-11_09-52-30.BMP,0,0,1
184,1A1PA_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-12-12_07-51-19.BMP,0,0,0
185,1A1PA_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX14DY11SDX7SDY16_2020-12-12_00-01-21.BMP,0,0,0
186,1A1PA_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX3DY9SDX7SDY16_2020-12-12_00-01-21.BMP,0,0,0
187,1A1PA_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-12-11_09-52-30.BMP,0,0,1
188,1A1PA_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-12-12_07-51-19.BMP,0,0,0
