,file name,label,vanti
25,7EIGQ_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-11-10_13-52-40.BMP,1,1
26,4P0SM_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-09-12_07-45-56.BMP,1,1
27,Y5112_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY16_2020-10-10_00-12-13.BMP,1,1
28,S7016_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-09-26_17-16-30.BMP,1,1
29,Y50ZS_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-08-06_10-02-10.BMP,1,1
30,7N0LE_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY16_2020-02-06_05-18-06.BMP,1,1
31,Y50Q4_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-06-01_21-06-26.BMP,1,1
32,Y50XQ_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-06-01_19-30-14.BMP,1,1
33,Y50YK_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-05-24_05-55-09.BMP,1,1
34,7N0LE_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY16_2020-02-06_05-18-06.BMP,1,1
35,7N0M8_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-03-01_08-36-38.BMP,1,0
36,Y50Y8_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-07-05_06-52-34.BMP,1,0
37,Y50YS_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY16_2020-06-24_20-48-33.BMP,1,0
38,Y50ZQ_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-07-29_00-04-09.BMP,1,0
39,Y50Z4_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-06-10_08-10-42.BMP,1,0
40,Y50YC_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-08-22_22-38-21.BMP,1,0
41,9A0VU_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-09-25_14-19-57.BMP,1,0
42,9UHIY_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-11-04_20-18-30.BMP,1,0
43,7N0KS_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-02-04_19-25-06.BMP,1,0
44,9A0TE_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-03-13_11-21-53.BMP,1,0
45,N6064_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-10-08_08-38-32.BMP,1,0
46,Y50T6_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-07-07_01-01-45.BMP,1,0
47,Y50WY_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-06-04_08-37-48.BMP,1,0
48,4P0RU_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-11-06_13-11-27.BMP,1,0
49,Y50Q2_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-07-02_09-29-40.BMP,1,0
50,4P0P2_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-09-22_05-24-10.BMP,1,0
51,Y50YU_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-06-24_20-08-13.BMP,1,0
52,Y50YI_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX7SDY17_2020-07-13_20-40-35.BMP,1,0
53,S700O_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-05-30_03-27-42.BMP,1,0
54,7N0N8_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-05-28_22-25-29.BMP,1,0
55,N606A_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY16_2020-12-01_09-05-20.BMP,1,0
56,Y511Q_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-05-19_05-18-50.BMP,1,0
57,Y50YS_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-06-24_20-05-11.BMP,1,0
58,7EIGQ_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-11-10_13-52-40.BMP,1,0
59,Y50R8_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-06-10_00-42-42.BMP,1,0
60,4P0Q0_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-10-11_03-16-14.BMP,1,0
61,F70KQ_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-12-19_08-54-52.BMP,1,0
62,Y50Q4_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-06-01_21-06-26.BMP,1,0
63,T10HK_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-08-16_14-47-16.BMP,1,0
64,4P0R2_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-10-21_18-49-05.BMP,1,0
65,N606E_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-12-08_15-17-38.BMP,1,0
66,4P0RK_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-10-11_04-31-37.BMP,1,0
67,7EIGK_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-10-15_16-24-55.BMP,1,0
68,9A0TA_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-03-13_23-21-50.BMP,1,0
69,9UHIU_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-10-21_23-38-33.BMP,1,0
70,9UHJ0_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-11-02_16-26-26.BMP,1,0
71,Y5110_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-08-14_03-41-31.BMP,1,0
72,T10GU_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-07-12_09-00-28.BMP,1,0
73,S700U_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-09-26_20-36-11.BMP,1,0
74,4P0Q2_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-11-24_12-20-28.BMP,1,0
75,9A0UY_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-09-04_05-34-10.BMP,1,0
76,Y50RW_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-05-28_20-15-16.BMP,1,0
77,4P0PU_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY16_2020-10-09_04-12-29.BMP,1,0
78,Y50SE_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-06-23_03-27-39.BMP,1,0
79,Y511I_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY16_2020-09-03_08-01-40.BMP,1,0
80,9A0V2_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-07-20_20-56-02.BMP,1,0
81,7N0N0_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-05-07_21-54-15.BMP,1,0
82,Y50YK_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-05-24_05-55-09.BMP,1,0
83,1W19Y_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-02-28_09-05-59.BMP,1,0
84,4P0RE_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY16_2020-11-24_07-58-07.BMP,1,0
85,N9HKG_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-06-05_11-17-16.BMP,1,0
86,W30E2_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-07-03_17-43-28.BMP,1,0
87,Y50ZM_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-05-31_12-49-44.BMP,1,0
88,9A0VM_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-09-17_18-06-38.BMP,1,0
89,7N0LY_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-01-26_09-14-21.BMP,1,0
90,Y510K_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY16_2020-10-17_22-27-31.BMP,1,1
91,7EIGK_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-10-15_16-24-55.BMP,1,1
92,Y510S_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-07-13_15-47-08.BMP,1,1
93,2CICM_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-07-07_01-48-39.BMP,1,1
94,T10H0_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX9DY14SDX8SDY15_2020-06-18_17-28-42.BMP,1,1
95,7N0N0_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-05-07_21-54-15.BMP,1,1
96,Y50XM_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-06-04_22-42-27.BMP,1,1
97,7EIGO_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-10-03_08-22-34.BMP,1,1
98,N606A_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY16_2020-12-01_09-05-20.BMP,1,1
99,7N0JI_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-02-04_19-19-27.BMP,1,1
100,2CICS_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-08-23_17-17-42.BMP,1,1
101,Y5112_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-10-09_22-54-39.BMP,1,1
102,7QI8G_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-08-28_19-57-03.BMP,1,1
103,Y50XM_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-06-04_22-42-27.BMP,1,1
104,S7004_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-08-07_02-41-43.BMP,1,1
105,7N0H0_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2019-12-30_17-47-42.BMP,1,1
106,Y50T6_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX6SDY16_2020-07-07_04-00-06.BMP,1,1
107,Y50XM_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-06-04_21-18-05.BMP,1,1
108,4P0QU_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-10-29_01-12-37.BMP,1,1
109,4P0PK_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-10-11_03-47-54.BMP,1,1
110,2CICW_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-09-20_07-52-47.BMP,1,1
111,Y50T6_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-07-07_01-01-45.BMP,1,1
112,9UHIU_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-10-21_23-38-33.BMP,1,1
113,4P0RW_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-12-04_11-07-35.BMP,1,1
114,Y50Z0_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-06-10_00-19-15.BMP,1,1
115,S7012_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX6SDY17_2020-09-01_20-38-48.BMP,1,1
116,4P0RW_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-12-04_11-07-35.BMP,1,1
117,9A0TC_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-03-13_05-32-30.BMP,1,1
118,Y511C_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX12DY6SDX8SDY15_2020-10-30_07-18-29.BMP,1,1
119,Y5116_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-10-13_04-11-50.BMP,1,1
120,Y5118_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY16_2020-08-10_23-58-19.BMP,1,1
121,T10HK_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-08-16_14-47-16.BMP,1,1
122,Y511S_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-05-09_23-38-57.BMP,1,1
123,Y50ZC_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-07-19_11-15-47.BMP,1,1
124,Y50YS_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-06-24_20-05-11.BMP,1,1
125,4P0QU_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY16_2020-10-29_10-58-49.BMP,1,1
126,7N0N4_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-06-25_07-13-56.BMP,1,1
127,6U0NW_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-09-11_12-23-35.BMP,1,1
128,Y512U_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-11-18_15-40-06.BMP,1,1
129,T10HM_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-05-28_20-11-15.BMP,1,1
130,4P0R0_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY15_2020-11-18_08-18-19.BMP,1,1
131,4P0RS_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-10-21_18-49-09.BMP,1,1
132,Y511A_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-08-27_00-19-44.BMP,1,1
133,7N0N0_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-05-07_21-54-15.BMP,1,1
134,7QI8K_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-09-13_17-51-27.BMP,1,1
135,Y5112_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY16_2020-10-10_00-12-13.BMP,1,1
136,9A0TC_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-03-13_05-32-30.BMP,1,1
137,Y511A_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-08-27_00-19-44.BMP,1,1
138,T10HM_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-05-28_20-11-15.BMP,1,1
139,Y510K_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY16_2020-10-17_22-27-31.BMP,1,1
140,9A0TA_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-03-13_23-21-50.BMP,1,1
141,Y5116_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-10-13_04-11-50.BMP,1,1
142,Y50ZE_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-08-08_13-42-36.BMP,1,1
143,5C16G_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-01-23_05-09-44.BMP,1,1
144,7N0MQ_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-05-05_23-10-13.BMP,1,1
145,Y50ZI_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-07-06_15-36-35.BMP,1,1
146,S700O_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-05-30_03-27-42.BMP,1,1
147,1W1B2_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-11-29_16-51-43.BMP,1,1
148,Y50YY_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-07-18_13-11-27.BMP,1,1
149,Y50XA_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-06-30_21-11-29.BMP,1,1
150,S702Q_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-09-13_13-14-21.BMP,1,1
151,9UHIU_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-10-21_23-38-33.BMP,1,1
152,Y50XE_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-06-27_14-13-26.BMP,1,1
153,4P0RO_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-12-06_14-14-20.BMP,1,1
154,4P0Q2_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-11-24_12-20-28.BMP,1,1
155,S700O_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-05-30_03-27-42.BMP,1,1
156,N9HK8_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-04-04_14-55-38.BMP,1,1
157,Y50ZE_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-08-08_19-47-50.BMP,1,1
158,Y50YM_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-05-28_12-28-14.BMP,1,1
159,5D0IM_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-02-07_01-06-55.BMP,1,1
160,7N0MQ_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY15_2020-05-06_07-20-54.BMP,1,1
161,Y50ZG_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-06-18_22-30-44.BMP,1,1
162,Y50T0_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-08-23_18-05-33.BMP,1,1
163,9UHJ0_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-11-02_16-26-26.BMP,1,1
164,W30E2_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-07-03_17-43-28.BMP,1,1
165,T10GE_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-04-29_11-45-49.BMP,1,1
166,Y510K_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-10-17_20-55-41.BMP,1,1
167,Y510O_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-06-10_05-45-39.BMP,1,1
168,4P0SM_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-09-12_07-45-56.BMP,1,1
169,Y50SM_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-06-26_03-20-12.BMP,1,1
170,Y50YQ_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-05-25_02-18-35.BMP,1,1
171,9A0SG_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-04-15_01-42-25.BMP,1,1
172,9UHJ2_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-11-29_13-51-26.BMP,1,1
173,5D0IK_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2019-12-29_01-54-16.BMP,1,1
174,7N0M6_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY16_2020-03-04_20-52-05.BMP,1,1
175,Y510Y_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-04-08_03-52-48.BMP,1,1
176,9A0SG_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-04-15_01-42-25.BMP,1,1
177,9A0V2_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-07-20_20-56-02.BMP,1,1
178,4P0Q0_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-10-11_03-16-14.BMP,1,1
179,Y50T6_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-07-07_01-01-45.BMP,1,1
180,N9HK8_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-04-04_14-55-38.BMP,1,1
181,7EIGO_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-10-03_08-22-34.BMP,1,1
182,Y5112_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-10-09_22-54-39.BMP,1,1
183,7EIGQ_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-11-10_13-52-40.BMP,1,1
184,Y511C_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX10DY9SDX7SDY14_2020-10-30_07-18-29.BMP,1,1
185,Y510S_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX6SDY16_2020-07-13_21-12-50.BMP,1,1
186,9A0VW_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX9DY14SDX8SDY17_2020-09-20_14-03-38.BMP,1,1
187,Y50Y8_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-07-05_06-52-34.BMP,1,1
188,Y50YK_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-05-24_05-55-09.BMP,1,1
189,9A0V6_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-09-11_14-51-46.BMP,1,1
190,Y50ZO_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX8DY11SDX8SDY16_2020-08-25_11-00-14.BMP,1,1
191,7N0LE_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY16_2020-02-06_05-18-06.BMP,1,1
192,9A0V6_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-09-11_14-51-46.BMP,1,1
193,Y511G_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-09-26_21-24-48.BMP,1,1
194,Y5118_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY16_2020-08-10_23-58-19.BMP,1,1
195,4P0PY_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-11-01_05-36-25.BMP,1,1
196,Y510S_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX7SDY17_2020-07-13_21-12-50.BMP,1,1
197,T10GE_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-04-29_11-45-49.BMP,1,1
