,file name,label,vanti,train \ test,score,vanti label,vanti with pr
13854,S5HUA_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY18_2020-12-11_13-01-52.BMP,1,1,0,0.75,0,1
13855,I6UZW_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX9DY12SDX2SDY10_2020-12-12_08-31-01.BMP,1,1,0,0.48,0,1
13856,I6UT8_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY4SDX2SDY10_2020-12-18_14-38-17.BMP,1,1,0,0.52,0,1
13857,U8MG2_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-12-27_23-08-28.BMP,1,1,0,0.81,0,1
13858,2RLMW_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY4SDX2SDY10_2020-11-25_03-47-20.BMP,1,1,1,0.87,0,1
13859,2RL5O_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX11DY6SDX2SDY10_2020-12-10_09-53-10.BMP,1,1,0,0.84,0,1
13860,5X6UQ_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX5DY11SDX5SDY29_2020-11-05_13-33-58.BMP,1,1,0,0.61,0,1
13861,3AJ0C_FSGB_VE_MEAS_FIB_{MEASURELB}_P007_DX6DY6SDX7SDY18_2020-11-08_03-21-58.BMP,1,1,0,0.57,0,1
13862,S50ZQ_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY20_2020-12-11_16-57-59.BMP,1,1,0,0.75,0,1
13863,I6V1M_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY4SDX2SDY10_2020-12-21_17-08-30.BMP,1,1,1,0.54,0,1
13864,2RLI0_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY4SDX2SDY10_2020-11-13_13-05-04.BMP,1,1,1,0.62,0,1
13865,S512A_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-12-07_11-50-17.BMP,1,1,0,0.42,0,1
13866,S5HUA_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-12-11_13-01-52.BMP,1,1,1,0.81,0,1
13867,S5HTY_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY18_2020-12-18_16-50-23.BMP,1,1,1,0.4,0,1
13868,S5HTY_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY17_2020-12-18_19-22-59.BMP,1,1,0,0.48,0,1
13869,1P3AI_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-12-30_13-51-41.BMP,1,1,0,0.74,0,1
13870,S5HTY_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-12-18_16-50-23.BMP,1,1,0,0.73,0,1
13871,I6V6C_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX4DY11SDX2SDY10_2020-12-12_08-55-24.BMP,1,1,0,0.68,0,1
13872,5X6VW_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX12DY14SDX5SDY29_2020-12-07_10-44-43.BMP,1,1,1,0.55,0,1
13873,6GJ7K_FSGB_VE_MEAS_FIB_{MEASURELB}_P004_DX14DY11SDX7SDY18_2020-11-16_22-55-05.BMP,1,1,0,0.4,0,1
13874,V9HKC_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY17_2020-12-04_00-16-06.BMP,1,1,0,0.56,0,1
13875,2RLQ6_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX4DY11SDX2SDY10_2020-12-08_02-32-43.BMP,1,1,1,0.59,0,1
13876,U8MGS_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY17_2020-12-15_15-34-04.BMP,1,1,0,0.7,0,1
13877,2RKZS_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX11DY6SDX2SDY10_2020-11-01_02-44-40.BMP,1,1,1,0.81,0,1
13878,1A1R0_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY17_2020-12-29_07-49-28.BMP,1,1,0,0.75,0,1
13879,I6UVS_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX11DY6SDX2SDY10_2020-11-11_18-34-25.BMP,1,1,0,0.8,0,1
13880,2RLO0_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX11DY6SDX2SDY10_2020-11-19_15-15-54.BMP,1,1,0,0.93,0,1
13881,S50ZQ_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-12-11_14-12-03.BMP,1,1,0,0.59,0,1
13882,1A1Q2_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-12-08_01-06-35.BMP,1,1,0,0.89,0,1
13883,V920W_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY17_2020-11-02_21-43-20.BMP,1,1,0,0.72,0,1
13884,M3RE4_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX11DY5SDX5SDY30_2020-11-27_09-51-00.BMP,1,1,0,0.87,0,1
13885,S519I_FSGB_VE_MEAS_FIB_{MEASURE}_P011_DX14DY6SDX7SDY17_2020-12-01_07-31-24.BMP,1,1,0,0.41,0,1
13886,1A19W_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX10DY14SDX7SDY18_2020-11-18_13-23-35.BMP,1,1,1,0.74,0,1
13887,3AIO4_FSGB_VE_MEAS_FIB_{MEASURELB}_P001_DX10DY9SDX7SDY18_2020-11-17_07-24-58.BMP,1,1,0,0.92,0,1
13888,2RKKY_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX9DY12SDX2SDY9_2020-11-01_04-43-23.BMP,1,1,0,0.94,0,1
13889,L5M26_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-12-30_02-00-14.BMP,1,1,0,0.42,0,1
13890,U8L8O_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-12-20_08-46-34.BMP,1,1,0,0.57,0,1
13891,2RLHQ_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY4SDX2SDY9_2020-11-02_13-06-53.BMP,1,1,1,0.59,0,1
13892,S5HTM_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY17_2020-11-08_15-53-11.BMP,1,1,1,0.69,0,1
13893,I6UY4_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX11DY6SDX2SDY9_2020-12-07_18-02-59.BMP,1,1,1,0.43,0,1
13894,S51EK_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-12-02_05-50-50.BMP,1,1,0,0.44,0,1
13895,3JOUA_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX6SDY23_2020-12-07_11-49-17.BMP,1,1,0,0.85,0,1
13896,I6V42_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX11DY6SDX2SDY10_2020-12-16_05-54-27.BMP,1,1,0,0.56,0,1
13897,S5HU2_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-12-03_04-11-09.BMP,1,1,0,0.62,0,1
13898,J7VBW_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY18_2020-12-20_02-48-57.BMP,1,1,1,0.61,0,1
13899,I6UUK_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY4SDX2SDY10_2020-12-10_08-16-31.BMP,1,1,0,0.5,0,1
13900,I6UX6_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX16DY6SDX2SDY10_2020-12-01_16-39-36.BMP,1,1,0,0.52,0,1
13901,S510Q_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-11-01_21-15-16.BMP,1,1,1,0.81,0,1
13902,S519A_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX10DY9SDX7SDY16_2020-11-19_07-27-09.BMP,1,1,0,0.68,0,1
13903,1A1B2_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY18_2020-12-17_16-06-49.BMP,1,1,0,0.81,0,1
13904,5X6WI_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX12DY14SDX5SDY31_2020-11-02_22-51-14.BMP,1,1,1,0.83,0,1
13905,S5HPC_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY18_2020-11-13_01-25-58.BMP,1,1,1,0.61,0,1
13906,1A1RS_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-12-22_23-30-42.BMP,1,1,0,0.58,0,1
13907,1A1PS_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-12-22_13-17-25.BMP,1,1,0,0.78,0,1
13908,2RLOW_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY4SDX2SDY10_2020-11-19_14-11-11.BMP,1,1,0,0.94,0,1
13909,I6V2Y_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY4SDX2SDY10_2020-12-18_10-09-28.BMP,1,1,0,0.55,0,1
13910,1A196_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX3DY9SDX7SDY14_2020-11-28_20-01-36.BMP,1,1,1,0.71,0,1
13911,S510W_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-11-18_15-26-48.BMP,1,1,0,0.58,0,1
13912,3JOTY_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX3DY9SDX6SDY25_2020-12-08_01-40-14.BMP,1,1,0,0.54,0,1
13913,S51EK_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-12-02_05-50-50.BMP,1,1,1,0.81,0,1
13914,I6UWW_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX4DY11SDX2SDY10_2020-11-16_15-48-24.BMP,1,1,1,0.51,0,1
13915,1A18Y_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-22_05-25-17.BMP,1,1,0,0.9,0,1
13916,1A1Q2_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-12-08_01-06-35.BMP,1,1,0,0.67,0,1
13917,J7VOC_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX14DY6SDX7SDY17_2020-12-05_07-54-45.BMP,1,1,0,0.76,0,1
13918,2RLCY_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX11DY6SDX2SDY10_2020-11-07_20-25-15.BMP,1,1,1,0.93,0,1
13919,I6UGS_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY4SDX2SDY10_2020-12-24_02-53-08.BMP,1,1,0,0.79,0,1
13920,2RLNK_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX16DY6SDX2SDY10_2020-11-19_11-41-15.BMP,1,1,1,0.9,0,1
13921,1A196_FSGB_VE_MEAS_FIB_{MEASURE}_P011_DX10DY3SDX7SDY14_2020-11-28_20-01-36.BMP,1,1,0,0.45,0,1
13922,S5116_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY17_2020-11-28_07-29-13.BMP,1,1,0,0.76,0,1
13923,8XJN2_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX5DY11SDX5SDY31_2020-12-12_12-58-44.BMP,1,1,0,0.51,0,1
13924,S51HU_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-12-13_16-02-42.BMP,1,1,0,0.86,0,1
13925,U8MGM_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-12-28_23-10-12.BMP,1,1,1,0.63,0,1
13926,2RLN4_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY4SDX2SDY10_2020-11-11_21-49-50.BMP,1,1,1,0.81,0,1
13927,2RLKY_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX16DY6SDX2SDY10_2020-11-23_23-12-57.BMP,1,1,1,0.41,0,1
13928,2RLII_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY4SDX2SDY10_2020-11-08_05-14-09.BMP,1,1,1,0.48,0,1
13929,1A196_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-11-28_06-42-14.BMP,1,1,1,0.46,0,1
13930,U8MHI_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-12-16_17-55-21.BMP,1,1,0,0.52,0,1
13931,I6UWY_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX9DY12SDX2SDY10_2020-12-10_07-10-31.BMP,1,1,0,0.62,0,1
13932,U8MH0_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-12-14_17-47-02.BMP,1,1,0,0.56,0,1
13933,5X6WQ_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX11DY2SDX5SDY33_2020-11-03_01-11-20.BMP,1,1,0,0.57,0,1
13934,3JOTK_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX14DY6SDX6SDY24_2020-11-24_15-24-58.BMP,1,1,1,0.71,0,1
13935,1P2PI_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY17_2020-11-05_03-59-06.BMP,1,1,1,0.79,0,1
13936,2RLLG_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX11DY6SDX2SDY10_2020-11-08_15-39-56.BMP,1,1,0,0.43,0,1
13937,S50ZU_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-22_13-08-32.BMP,1,1,1,0.74,0,1
13938,S511Y_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX14DY6SDX7SDY20_2020-12-17_15-22-31.BMP,1,1,0,0.87,0,1
