,file name,label,vanti,train \ test,score
44,9A0TE_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-03-13_11-21-53.BMP,0,1,0,0.35
45,N6064_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-10-08_08-38-32.BMP,0,1,0,0.33
46,Y50T6_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-07-07_01-01-45.BMP,0,1,1,0.20
47,Y50WY_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-06-04_08-37-48.BMP,0,1,1,0.49
48,4P0RU_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-11-06_13-11-27.BMP,0,1,0,0.27
49,Y50Q2_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-07-02_09-29-40.BMP,0,1,1,0.58
50,4P0P2_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-09-22_05-24-10.BMP,0,1,1,0.14
51,Y50YU_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-06-24_20-08-13.BMP,0,1,0,0.58
52,Y50YI_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX7SDY17_2020-07-13_20-40-35.BMP,0,1,1,0.24
53,S700O_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-05-30_03-27-42.BMP,0,1,0,0.17
54,7N0N8_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-05-28_22-25-29.BMP,0,1,1,0.17
55,N606A_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY16_2020-12-01_09-05-20.BMP,0,1,1,0.19
56,Y511Q_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-05-19_05-18-50.BMP,0,1,0,0.39
57,Y50YS_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-06-24_20-05-11.BMP,0,1,1,0.32
58,7EIGQ_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-11-10_13-52-40.BMP,0,1,0,0.21
59,Y50R8_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-06-10_00-42-42.BMP,0,1,0,0.51
60,4P0Q0_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-10-11_03-16-14.BMP,0,1,0,0.42
61,F70KQ_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-12-19_08-54-52.BMP,0,1,0,0.44
62,Y50Q4_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-06-01_21-06-26.BMP,0,1,0,0.43
63,T10HK_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-08-16_14-47-16.BMP,0,1,0,0.36
64,4P0R2_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-10-21_18-49-05.BMP,0,1,0,0.15
65,N606E_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-12-08_15-17-38.BMP,0,1,1,0.51
66,4P0RK_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-10-11_04-31-37.BMP,0,1,0,0.39
67,7EIGK_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-10-15_16-24-55.BMP,0,1,0,0.45
68,9A0TA_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-03-13_23-21-50.BMP,0,1,1,0.19
69,9UHIU_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-10-21_23-38-33.BMP,0,1,0,0.17
70,9UHJ0_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-11-02_16-26-26.BMP,0,1,0,0.24
71,Y5110_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-08-14_03-41-31.BMP,0,1,1,0.24
72,T10GU_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-07-12_09-00-28.BMP,0,1,1,0.53
73,S700U_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-09-26_20-36-11.BMP,0,1,0,0.22
74,4P0Q2_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-11-24_12-20-28.BMP,0,1,1,0.38
75,9A0UY_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-09-04_05-34-10.BMP,0,1,0,0.50
76,Y50RW_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-05-28_20-15-16.BMP,0,1,1,0.24
77,4P0PU_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY16_2020-10-09_04-12-29.BMP,0,1,0,0.41
78,Y50SE_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-06-23_03-27-39.BMP,0,1,0,0.36
79,Y511I_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY16_2020-09-03_08-01-40.BMP,0,1,0,0.55
80,9A0V2_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-07-20_20-56-02.BMP,0,1,0,0.25
81,7N0N0_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-05-07_21-54-15.BMP,0,1,0,0.14
82,Y50YK_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-05-24_05-55-09.BMP,0,1,1,0.12
83,1W19Y_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-02-28_09-05-59.BMP,0,1,0,0.60
84,4P0RE_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY16_2020-11-24_07-58-07.BMP,0,1,0,0.31
85,N9HKG_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-06-05_11-17-16.BMP,0,1,1,0.22
86,W30E2_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-07-03_17-43-28.BMP,0,1,0,0.47
87,Y50ZM_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-05-31_12-49-44.BMP,0,1,0,0.19
88,9A0VM_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-09-17_18-06-38.BMP,0,1,0,0.47
89,7N0LY_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-01-26_09-14-21.BMP,0,1,0,0.59
90,Y510K_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY16_2020-10-17_22-27-31.BMP,0,0,0,0.86
91,7EIGK_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-10-15_16-24-55.BMP,0,0,1,0.43
92,Y510S_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-07-13_15-47-08.BMP,0,0,0,0.58
93,2CICM_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-07-07_01-48-39.BMP,0,0,1,0.85
94,T10H0_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX9DY14SDX8SDY15_2020-06-18_17-28-42.BMP,0,0,1,0.71
95,7N0N0_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-05-07_21-54-15.BMP,0,0,0,0.81
96,Y50XM_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-06-04_22-42-27.BMP,0,0,0,0.79
97,7EIGO_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-10-03_08-22-34.BMP,0,0,1,0.50
98,N606A_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY16_2020-12-01_09-05-20.BMP,0,0,1,0.93
99,7N0JI_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-02-04_19-19-27.BMP,0,0,1,0.82
100,2CICS_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-08-23_17-17-42.BMP,0,0,0,0.82
101,Y5112_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-10-09_22-54-39.BMP,0,0,0,0.68
102,7QI8G_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-08-28_19-57-03.BMP,0,0,1,0.88
103,Y50XM_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-06-04_22-42-27.BMP,0,0,0,0.80
104,S7004_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-08-07_02-41-43.BMP,0,0,0,0.51
105,7N0H0_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2019-12-30_17-47-42.BMP,0,0,0,0.56
106,Y50T6_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX6SDY16_2020-07-07_04-00-06.BMP,0,0,0,0.78
107,Y50XM_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-06-04_21-18-05.BMP,0,0,0,0.47
108,4P0QU_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-10-29_01-12-37.BMP,0,0,0,0.55
109,4P0PK_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-10-11_03-47-54.BMP,0,0,0,0.88
110,2CICW_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-09-20_07-52-47.BMP,0,0,1,0.53
111,Y50T6_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-07-07_01-01-45.BMP,0,0,1,0.71
112,9UHIU_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-10-21_23-38-33.BMP,0,0,1,0.60
113,4P0RW_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-12-04_11-07-35.BMP,0,0,1,0.41
114,Y50Z0_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-06-10_00-19-15.BMP,0,0,0,0.94
115,S7012_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX6SDY17_2020-09-01_20-38-48.BMP,0,0,0,0.40
116,4P0RW_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-12-04_11-07-35.BMP,0,0,0,0.86
117,9A0TC_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-03-13_05-32-30.BMP,0,0,0,0.94
118,Y511C_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX12DY6SDX8SDY15_2020-10-30_07-18-29.BMP,0,0,0,0.91
119,Y5116_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-10-13_04-11-50.BMP,0,0,0,0.83
120,Y5118_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY16_2020-08-10_23-58-19.BMP,0,0,0,0.77
121,T10HK_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-08-16_14-47-16.BMP,0,0,0,0.49
122,Y511S_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-05-09_23-38-57.BMP,0,0,0,0.94
123,Y50ZC_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-07-19_11-15-47.BMP,0,0,1,0.83
124,Y50YS_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-06-24_20-05-11.BMP,0,0,0,0.59
125,4P0QU_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY16_2020-10-29_10-58-49.BMP,0,0,0,0.78
126,7N0N4_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-06-25_07-13-56.BMP,0,0,1,0.68
127,6U0NW_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-09-11_12-23-35.BMP,0,0,1,0.60
128,Y512U_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-11-18_15-40-06.BMP,0,0,0,0.57
129,T10HM_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-05-28_20-11-15.BMP,0,0,1,0.52
130,4P0R0_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY15_2020-11-18_08-18-19.BMP,0,0,0,0.90
131,4P0RS_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-10-21_18-49-09.BMP,0,0,0,0.90
132,Y511A_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-08-27_00-19-44.BMP,0,0,1,0.61
133,7N0N0_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-05-07_21-54-15.BMP,0,0,1,0.85
134,7QI8K_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-09-13_17-51-27.BMP,0,0,0,0.62
135,Y5112_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY16_2020-10-10_00-12-13.BMP,0,0,0,0.64
136,9A0TC_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-03-13_05-32-30.BMP,0,0,0,0.48
137,Y511A_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-08-27_00-19-44.BMP,0,0,0,0.55
138,T10HM_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-05-28_20-11-15.BMP,0,0,0,0.42
139,Y510K_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY16_2020-10-17_22-27-31.BMP,0,0,0,0.70
140,9A0TA_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-03-13_23-21-50.BMP,0,0,0,0.83
141,Y5116_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-10-13_04-11-50.BMP,0,0,0,0.56
142,Y50ZE_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-08-08_13-42-36.BMP,0,0,1,0.66
143,5C16G_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-01-23_05-09-44.BMP,0,0,1,0.49
144,7N0MQ_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-05-05_23-10-13.BMP,0,0,0,0.85
145,Y50ZI_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-07-06_15-36-35.BMP,0,0,0,0.91
146,S700O_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-05-30_03-27-42.BMP,0,0,0,0.65
147,1W1B2_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-11-29_16-51-43.BMP,0,0,0,0.63
148,Y50YY_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-07-18_13-11-27.BMP,0,0,0,0.68
149,Y50XA_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-06-30_21-11-29.BMP,0,0,0,0.50
150,S702Q_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-09-13_13-14-21.BMP,0,0,0,0.46
151,9UHIU_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-10-21_23-38-33.BMP,0,0,0,0.60
152,Y50XE_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-06-27_14-13-26.BMP,0,0,0,0.80
153,4P0RO_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-12-06_14-14-20.BMP,0,0,0,0.62
154,4P0Q2_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-11-24_12-20-28.BMP,0,0,1,0.91
155,S700O_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-05-30_03-27-42.BMP,0,0,1,0.84
156,N9HK8_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-04-04_14-55-38.BMP,0,0,0,0.79
157,Y50ZE_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2020-08-08_19-47-50.BMP,0,0,0,0.58
158,Y50YM_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-05-28_12-28-14.BMP,0,0,0,0.70
159,5D0IM_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-02-07_01-06-55.BMP,0,0,1,0.79
160,7N0MQ_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY15_2020-05-06_07-20-54.BMP,0,0,1,0.90
161,Y50ZG_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-06-18_22-30-44.BMP,0,0,0,0.79
162,Y50T0_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-08-23_18-05-33.BMP,0,0,0,0.89
163,9UHJ0_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-11-02_16-26-26.BMP,0,0,0,0.57
164,W30E2_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-07-03_17-43-28.BMP,0,0,0,0.52
165,T10GE_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-04-29_11-45-49.BMP,0,0,1,0.41
166,Y510K_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-10-17_20-55-41.BMP,0,0,0,0.55
167,Y510O_HC_PL_MEAS_FIB_{MEASURE2}_P004_DX10DY9SDX7SDY16_2020-06-10_05-45-39.BMP,0,0,0,0.63
168,4P0SM_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-09-12_07-45-56.BMP,0,0,0,0.40
169,Y50SM_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-06-26_03-20-12.BMP,0,0,0,0.67
170,Y50YQ_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-05-25_02-18-35.BMP,0,0,1,0.62
171,9A0SG_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY17_2020-04-15_01-42-25.BMP,0,0,1,0.73
172,9UHJ2_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-11-29_13-51-26.BMP,0,0,1,0.79
173,5D0IK_HC_PL_MEAS_FIB_{MEASURE2}_P002_DX12DY6SDX8SDY17_2019-12-29_01-54-16.BMP,0,0,1,0.83
174,7N0M6_HC_PL_MEAS_FIB_{MEASURE2}_P003_DX8DY11SDX8SDY16_2020-03-04_20-52-05.BMP,0,0,0,0.94
175,Y510Y_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-04-08_03-52-48.BMP,0,0,1,0.73
176,9A0SG_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-04-15_01-42-25.BMP,0,0,0,0.44
177,9A0V2_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-07-20_20-56-02.BMP,0,0,0,0.63
178,4P0Q0_HC_PL_MEAS_FIB_{MEASURE2}_P006_DX9DY4SDX8SDY17_2020-10-11_03-16-14.BMP,0,0,1,0.85
179,Y50T6_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-07-07_01-01-45.BMP,0,0,0,0.69
180,N9HK8_HC_PL_MEAS_FIB_{MEASURE2}_P005_DX7DY7SDX8SDY17_2020-04-04_14-55-38.BMP,0,0,0,0.64
181,7EIGO_HC_PL_MEAS_FIB_{MEASURE2}_P001_DX9DY14SDX8SDY17_2020-10-03_08-22-34.BMP,0,0,1,0.62
