,file name,label,vanti,train \ test,score
32,L5L1K_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-10-14_04-09-34.BMP,0,0,0,0.75
33,1P2QK_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-09-26_20-16-00.BMP,0,0,1,0.63
34,1P2MO_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-11-21_14-05-51.BMP,0,0,0,0.66
35,2RLC2_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY37_2020-10-28_09-19-21.BMP,0,0,1,0.71
36,2RL3Q_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY33_2020-10-11_15-29-34.BMP,0,0,0,0.67
37,1P31G_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-11-27_22-55-40.BMP,0,0,0,0.65
38,1P2DU_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-09-15_13-51-41.BMP,0,0,0,0.91
39,U8LK8_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-11-07_08-44-40.BMP,0,0,0,0.54
40,2RL4U_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY34_2020-10-11_07-40-23.BMP,0,0,0,0.61
41,3AIMQ_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-10-24_07-12-36.BMP,0,0,1,0.61
42,1P2EK_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-09-07_17-09-43.BMP,0,0,0,0.49
43,2RKQM_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY35_2020-09-12_17-22-56.BMP,0,0,0,0.79
44,U8LEA_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-11-14_16-24-56.BMP,0,0,1,0.55
45,Q8QMC_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-11-27_11-57-57.BMP,0,0,0,0.72
46,U8LDY_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-12-09_08-58-20.BMP,0,0,0,0.67
47,2RL54_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY37_2020-11-11_21-51-22.BMP,0,0,1,0.48
48,1P2M2_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-11-21_12-59-40.BMP,0,0,0,0.67
49,3AIO6_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-09-04_22-23-31.BMP,0,0,0,0.72
50,3AIWM_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-10-10_08-35-09.BMP,0,0,0,0.61
51,1P29O_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-09-02_17-05-40.BMP,0,0,0,0.92
52,1P34Y_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-12-16_02-00-57.BMP,0,0,1,0.61
53,2RKZM_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY37_2020-09-29_16-30-10.BMP,0,1,1,0.43
54,J3HMK_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-11-01_21-25-52.BMP,0,0,0,0.80
55,1P2MM_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-11-20_18-16-45.BMP,0,0,0,0.90
56,J7VBY_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-11-20_23-21-48.BMP,0,0,0,0.79
57,2RL18_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY34_2020-10-02_19-12-19.BMP,0,0,1,0.44
58,I6UQO_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY34_2020-12-13_07-56-08.BMP,0,0,0,0.91
59,3JOGQ_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX8SDY16_2020-09-15_14-44-18.BMP,0,0,0,0.63
60,L5LZ4_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-11-27_12-56-36.BMP,0,0,0,0.89
61,I6UWO_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-12-05_16-27-51.BMP,0,0,1,0.87
62,V922M_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-11-19_20-05-56.BMP,0,0,0,0.45
63,2RLIA_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY34_2020-11-07_14-23-39.BMP,0,0,0,0.73
64,L5L98_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-11-11_20-01-20.BMP,0,0,0,0.42
65,J7UVC_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY13_2020-08-25_07-23-38.BMP,0,0,0,0.41
66,L5LKS_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY13_2020-11-18_10-49-29.BMP,0,0,0,0.81
67,1P2MU_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-10-31_05-48-01.BMP,0,0,0,0.46
68,1P2Z2_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-12-04_09-44-02.BMP,0,0,0,0.83
69,J7V5O_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-11-15_13-49-54.BMP,0,0,0,0.75
70,V91OK_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-06_20-15-24.BMP,0,1,0,0.29
71,1P2U8_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-10-15_04-50-15.BMP,0,1,0,0.12
72,2RLJW_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY37_2020-11-22_01-32-08.BMP,0,0,0,0.83
73,2RLBQ_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-10-28_10-06-18.BMP,0,0,1,0.74
74,2RKG6_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY35_2020-08-27_13-35-55.BMP,0,0,0,0.72
75,1P2QQ_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-31_11-12-49.BMP,0,1,0,0.24
76,2RKZC_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-11-23_19-59-04.BMP,0,0,0,0.82
77,2RLDQ_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY37_2020-10-15_21-10-42.BMP,0,0,0,0.81
78,2RLOC_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-11-11_23-15-52.BMP,0,0,0,0.87
79,V9178_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-09-11_08-51-54.BMP,0,0,1,0.87
80,U8L2W_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-08-24_10-15-28.BMP,0,0,0,0.80
81,1P306_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-10-12_01-03-45.BMP,0,0,0,0.49
82,I6UKE_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY34_2020-09-20_06-09-19.BMP,0,0,0,0.56
83,2RLIU_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-10-23_17-04-31.BMP,0,0,1,0.90
84,2RL60_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-12-02_08-50-39.BMP,0,0,0,0.92
85,V9230_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-12-15_02-03-30.BMP,0,0,1,0.75
86,3JO1E_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX8SDY16_2020-10-21_02-58-36.BMP,0,0,1,0.71
87,3JOHY_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX8SDY16_2020-10-05_14-33-14.BMP,0,0,0,0.81
88,1A1E8_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-11_07-51-22.BMP,0,0,0,0.67
89,1PIKQ_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-10-03_01-38-30.BMP,0,0,0,0.48
90,M3RAW_SCAP_VE_MEAS_FIB_{MEASURE1}_P006_DX6DY5SDX8SDY22_2020-08-24_01-04-07.BMP,0,1,1,0.35
91,3AIWY_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-11-25_13-14-32.BMP,0,0,0,0.84
92,U8LJ2_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-11-02_04-54-12.BMP,0,0,0,0.48
93,V91WM_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-11-28_13-36-08.BMP,0,0,1,0.64
94,3AIHW_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-11-22_14-10-29.BMP,0,0,1,0.74
95,3JOKK_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX8SDY16_2020-09-12_01-23-13.BMP,0,0,0,0.51
96,1P2P8_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-09-26_10-19-29.BMP,0,0,0,0.75
97,U8LEM_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-10-30_20-56-15.BMP,0,0,0,0.52
98,I6UBQ_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-09-04_02-56-29.BMP,0,0,0,0.89
99,1P2EI_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-09-15_14-20-37.BMP,0,0,0,0.72
100,2RKYY_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY37_2020-09-15_07-30-18.BMP,0,0,1,0.75
101,1P386_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-11-02_17-57-09.BMP,0,0,1,0.85
102,I6UI6_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-09-06_12-02-56.BMP,0,0,0,0.90
103,I6UI2_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-08-29_04-43-04.BMP,0,0,1,0.81
104,I6UI2_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-08-29_04-43-04.BMP,0,0,0,0.42
105,I6UIE_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-10-25_02-12-40.BMP,0,0,0,0.58
106,I6UIK_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY37_2020-09-06_23-37-43.BMP,0,0,0,0.82
107,I6UIK_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY34_2020-09-06_23-37-43.BMP,0,0,1,0.41
108,I6UIS_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-09-19_07-38-01.BMP,0,0,1,0.85
109,I6UIO_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-09-06_23-47-52.BMP,0,0,1,0.41
110,I6UIO_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY37_2020-09-06_23-47-52.BMP,0,0,0,0.52
111,I6UIU_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-09-07_01-38-54.BMP,0,0,0,0.50
112,I6UJ2_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY37_2020-09-20_13-10-17.BMP,0,0,0,0.67
113,I6UJQ_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-09-17_09-03-31.BMP,0,0,0,0.51
114,I6UJW_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-11-02_13-08-27.BMP,0,0,0,0.52
115,I6UK6_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY37_2020-09-26_03-26-18.BMP,0,0,0,0.88
116,I6UK4_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-09-01_20-07-35.BMP,0,0,0,0.59
117,I6UK8_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY34_2020-09-15_17-48-40.BMP,0,0,0,0.68
118,I6UKA_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY37_2020-09-26_17-00-40.BMP,0,0,0,0.76
119,I6UKA_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY34_2020-09-26_17-00-40.BMP,0,0,0,0.55
120,I6UKE_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-09-20_06-09-19.BMP,0,0,1,0.77
121,I6UKC_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY37_2020-09-15_17-41-50.BMP,0,0,1,0.47
122,I6UKE_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY37_2020-09-20_06-09-19.BMP,0,0,0,0.46
123,I6UKI_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-09-20_05-23-46.BMP,0,0,0,0.64
124,I6UKI_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY37_2020-09-20_05-23-46.BMP,0,0,0,0.55
125,I6UKK_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-09-17_20-55-32.BMP,0,0,0,0.48
126,I6UKI_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-09-20_05-23-46.BMP,0,0,0,0.80
127,I6UKG_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-09-11_04-40-37.BMP,0,0,0,0.81
128,I6UKK_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-09-17_20-55-32.BMP,0,0,0,0.84
129,I6UKM_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY37_2020-10-01_09-18-06.BMP,0,0,1,0.83
130,I6UKM_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY34_2020-10-01_09-18-06.BMP,0,0,0,0.49
131,I6UL0_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-09-29_12-54-11.BMP,0,0,0,0.42
132,I6UL2_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-09-16_22-00-30.BMP,0,0,0,0.63
133,I6UL4_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-09-05_21-37-50.BMP,0,0,1,0.87
134,I6ULA_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY37_2020-09-26_03-12-28.BMP,0,0,0,0.42
135,I6ULA_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-09-26_03-12-28.BMP,0,0,0,0.44
136,I6ULM_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY34_2020-10-28_13-52-20.BMP,0,0,0,0.79
137,I6ULQ_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-09-05_22-57-11.BMP,0,0,0,0.62
138,I6ULY_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-09-22_08-22-08.BMP,0,0,0,0.60
139,I6ULY_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-09-22_08-22-08.BMP,0,0,1,0.83
140,I6ULQ_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY34_2020-09-05_22-57-11.BMP,0,0,0,0.46
141,I6ULW_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-09-15_19-54-34.BMP,0,0,0,0.49
142,I6UM2_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY34_2020-09-15_15-22-29.BMP,0,0,0,0.63
143,I6UM8_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY37_2020-09-24_19-26-24.BMP,0,0,1,0.69
144,I6UM8_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-09-24_19-26-24.BMP,0,0,0,0.56
145,I6UN2_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY37_2020-09-30_00-30-44.BMP,0,0,0,0.67
146,I6UN4_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-09-27_16-15-33.BMP,0,0,0,0.70
147,I6UN4_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY37_2020-09-27_16-15-33.BMP,0,0,0,0.75
148,I6UN4_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-09-27_16-15-33.BMP,0,0,0,0.93
149,I6UNM_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-10-06_23-39-15.BMP,0,0,1,0.49
150,I6UNM_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-10-06_23-39-15.BMP,0,0,0,0.61
151,I6UNM_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY37_2020-10-06_23-39-15.BMP,0,0,0,0.72
152,I6UNW_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY37_2020-09-26_17-05-45.BMP,0,0,0,0.52
153,I6UNW_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY34_2020-09-26_17-05-45.BMP,0,0,0,0.51
154,I6UNY_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY37_2020-10-03_22-09-01.BMP,0,0,0,0.42
155,I6UNY_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-10-03_22-09-01.BMP,0,0,1,0.62
156,I6UO4_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-10-03_00-03-48.BMP,0,0,0,0.61
157,I6UO8_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-10-04_09-29-14.BMP,0,1,0,0.38
158,I6UOA_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY37_2020-09-21_08-26-51.BMP,0,0,1,0.79
159,I6UOA_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY34_2020-09-21_08-26-51.BMP,0,0,1,0.66
160,I6UOA_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-09-21_08-26-51.BMP,0,0,0,0.72
161,I6UOC_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY34_2020-10-09_08-42-41.BMP,0,0,1,0.74
162,I6UOI_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-11-08_03-37-29.BMP,0,0,1,0.76
163,I6UOG_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-09-21_19-38-56.BMP,0,0,0,0.53
164,I6UOG_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY37_2020-09-21_19-38-56.BMP,0,0,0,0.75
165,I6UOK_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY36_2020-10-19_07-17-10.BMP,0,0,0,0.90
166,I6UOQ_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-09-27_05-36-50.BMP,0,0,0,0.85
167,I6UOQ_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-09-27_05-36-50.BMP,0,0,0,0.76
168,I6UOS_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-09-26_19-13-37.BMP,0,0,0,0.41
169,I6UOS_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-09-26_19-13-37.BMP,0,0,0,0.93
170,I6UOU_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY34_2020-10-03_00-26-00.BMP,0,0,1,0.67
171,I6UP2_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-10-17_13-32-04.BMP,0,0,0,0.93
172,I6UP2_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY37_2020-10-17_13-32-04.BMP,0,0,1,0.51
173,I6UP2_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-10-17_13-32-04.BMP,0,0,0,0.82
174,I6UP8_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY34_2020-09-26_05-56-13 (1).BMP,0,0,0,0.48
175,I6UPA_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY37_2020-10-05_15-10-20.BMP,0,0,0,0.60
176,I6UP8_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY34_2020-09-26_05-56-13.BMP,0,0,0,0.47
