,file name,label,vanti,train \ test,score,vanti label,vanti with context data
2567,1P2R8_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-07_22-35-34.BMP,1,1,1,0.67,2,1
2568,1P2R6_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-11_06-18-27.BMP,1,1,0,0.55,2,1
2569,1P2RC_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-11-27_13-30-12.BMP,1,1,1,0.6,2,1
2570,1P2RS_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-17_12-40-35.BMP,1,1,0,0.5,2,1
2571,1P2RU_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-11-26_19-52-25.BMP,1,1,1,0.68,2,1
2572,1P2SC_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-12_04-53-47.BMP,1,1,1,0.91,2,1
2573,1P2SY_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-08_03-22-19.BMP,1,1,0,0.76,2,1
2574,1P2U2_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-10-17_00-44-36.BMP,1,1,0,0.63,2,1
2575,1P2U4_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-23_13-34-20.BMP,1,1,0,0.89,2,1
2576,1P2U8_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-10-15_04-50-15.BMP,1,1,0,0.43,2,1
2577,1P2U8_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-15_04-50-15.BMP,1,1,0,0.82,2,1
2578,1P2UY_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-10-07_21-47-35.BMP,1,1,1,0.72,2,1
2579,1P2VC_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-12-11_13-51-06.BMP,1,1,0,0.76,2,1
2580,1P2VC_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-12-11_13-51-06.BMP,1,1,0,0.55,2,1
2581,1P2VO_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-05_09-52-23.BMP,1,1,0,0.78,2,1
2582,1P2VQ_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-15_22-31-54.BMP,1,1,1,0.43,2,1
2583,1P2W0_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-06_19-57-30.BMP,1,1,1,0.5,2,1
2584,1P2W4_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-08_02-24-27.BMP,1,1,0,0.92,2,1
2585,1P2WK_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-10-19_19-33-17.BMP,1,1,0,0.72,2,1
2586,1P2WM_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-15_04-02-03.BMP,1,1,1,0.72,2,1
2587,1P2X2_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-10-10_10-24-35.BMP,1,1,1,0.77,2,1
2588,1P2WU_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-24_16-53-00.BMP,1,1,0,0.9,2,1
2589,1P2X2_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-10_10-24-35.BMP,1,1,0,0.44,2,1
2590,1P2X8_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-11-27_12-46-33.BMP,1,1,0,0.45,2,1
2591,1P2XA_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-12-01_01-31-38.BMP,1,1,0,0.92,2,1
2592,1P2XA_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-12-01_01-31-38.BMP,1,1,0,0.61,2,1
2593,1P2XC_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-12-10_22-06-46.BMP,1,1,0,0.77,2,1
2594,1P2XC_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-12-10_22-06-46.BMP,1,1,0,0.94,2,1
2595,1P2XC_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-12-10_22-06-46.BMP,1,1,0,0.82,2,1
2596,1P2XE_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-12-12_17-40-34.BMP,1,1,1,0.73,2,1
2597,1P2XG_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-09-19_04-00-29.BMP,1,1,0,0.43,2,1
2598,1P2YC_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-10-15_21-32-34.BMP,1,1,0,0.71,2,1
2599,1P2YI_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-12-06_08-41-54.BMP,1,1,0,0.54,2,1
2600,1P2YI_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-12-06_08-41-54.BMP,1,1,0,0.65,2,1
2601,1P2YQ_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-12-11_11-50-14.BMP,1,1,1,0.44,2,1
2602,1P2ZS_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-12-10_17-43-04.BMP,1,1,0,0.66,2,1
2603,1P30Y_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-10-31_10-35-59.BMP,1,1,0,0.54,2,1
2604,1P31I_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-11-28_10-41-45.BMP,1,1,1,0.49,2,1
2605,1P31I_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-11-28_10-41-45.BMP,1,1,0,0.91,2,1
2606,1P326_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-10-21_14-54-26.BMP,1,1,0,0.42,2,1
2607,1P32C_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-10-21_10-07-51.BMP,1,1,1,0.49,2,1
2608,1P32C_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-10-21_10-07-51.BMP,1,1,0,0.64,2,1
2609,1P330_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-12-08_03-47-05.BMP,1,1,0,0.42,2,1
2610,1P338_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-11-27_19-36-02.BMP,1,1,0,0.73,2,1
2611,1P33G_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-10-10_09-38-52.BMP,1,1,0,0.78,2,1
2612,1P33G_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-10-10_09-38-52.BMP,1,1,0,0.69,2,1
2613,1P344_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-11-21_12-42-12.BMP,1,1,1,0.59,2,1
2614,1P33U_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-11-27_16-35-23.BMP,1,1,1,0.6,2,1
2615,1P348_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-12-14_14-45-37.BMP,1,1,1,0.58,2,1
2616,1P34I_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-31_05-05-54.BMP,1,1,0,0.76,2,1
2617,1P350_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-12-15_00-41-10.BMP,1,1,1,0.55,2,1
2618,1P350_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-12-15_00-41-10.BMP,1,1,0,0.78,2,1
2619,1P35A_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-10-30_12-07-27.BMP,1,1,0,0.46,2,1
2620,1P35Y_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY13_2020-12-09_04-27-41.BMP,1,1,0,0.92,2,1
2621,1P35Y_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-12-09_03-10-12.BMP,1,1,0,0.7,2,1
2622,1P364_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-10-20_07-27-11.BMP,1,1,1,0.84,2,1
2623,1P364_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-20_07-27-11.BMP,1,1,1,0.77,2,1
2624,1P36Y_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-11-02_07-34-10.BMP,1,1,0,0.4,2,1
2625,1P378_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-11-05_13-07-25.BMP,1,1,1,0.85,2,1
2626,1P38O_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-12-11_18-45-38.BMP,1,1,1,0.41,2,1
2627,1P39K_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-12-15_01-22-25.BMP,1,1,1,0.75,2,1
2628,1P39C_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-11-19_10-09-36.BMP,1,1,0,0.83,2,1
2629,1P3B8_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-12-10_07-52-37.BMP,1,1,0,0.41,2,1
2630,1P3BS_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-12-16_15-05-46.BMP,1,1,1,0.76,2,1
2631,1P3BS_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-12-16_15-05-46.BMP,1,1,0,0.63,2,1
2632,1P3KG_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-10-31_02-37-40.BMP,1,1,0,0.92,2,1
2633,1P3KG_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-10-31_02-37-40.BMP,1,1,0,0.9,2,1
2634,1P3KG_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-31_02-37-40.BMP,1,1,0,0.8,2,1
2635,1P3VI_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-12-08_16-41-12.BMP,1,1,0,0.65,2,1
2636,2QI54_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX4SDY8_2020-09-29_09-50-14.BMP,1,1,1,0.85,2,1
2637,2RKCS_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY37_2020-09-25_23-35-29.BMP,1,1,0,0.5,2,1
2638,2RKIU_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY37_2020-09-19_15-27-46.BMP,1,1,0,0.49,2,1
2639,2RKIY_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY34_2020-08-27_01-29-47.BMP,1,1,1,0.7,2,1
2640,2RKKK_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY37_2020-08-24_06-37-08.BMP,1,1,0,0.74,2,1
2641,2RKKK_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY34_2020-08-24_06-37-08.BMP,1,1,1,0.74,2,1
2642,2RKM8_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-08-23_09-44-44.BMP,1,1,0,0.51,2,1
2643,2RKNO_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-08-23_04-10-03.BMP,1,1,0,0.41,2,1
2644,2RKP0_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY35_2020-09-18_08-59-33.BMP,1,1,1,0.89,2,1
2645,2RKPK_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY34_2020-09-20_02-19-30.BMP,1,1,0,0.84,2,1
2646,2RKQK_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-10-27_10-21-15.BMP,1,1,0,0.56,2,1
2647,2RKR4_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-10-01_04-20-42.BMP,1,1,0,0.83,2,1
2648,2RKR4_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY34_2020-10-01_04-20-42.BMP,1,1,0,0.72,2,1
2649,2RKRG_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY37_2020-09-20_01-47-16.BMP,1,1,0,0.5,2,1
2650,2RKTG_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-09-19_21-54-02.BMP,1,1,0,0.91,2,1
2651,2RKTG_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY37_2020-09-19_21-54-02.BMP,1,1,0,0.94,2,1
2652,2RKV8_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY34_2020-09-28_17-03-13.BMP,1,1,0,0.71,2,1
2653,2RKWG_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY34_2020-09-09_19-32-07.BMP,1,1,1,0.6,2,1
2654,2RKX2_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY37_2020-09-28_14-11-45.BMP,1,1,0,0.41,2,1
2655,2RKX2_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-09-28_14-11-45.BMP,1,1,0,0.67,2,1
2656,2RKX2_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY34_2020-09-28_14-11-45.BMP,1,1,0,0.65,2,1
2657,2RKXM_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY34_2020-11-21_23-46-40.BMP,1,1,0,0.5,2,1
2658,2RKXU_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY34_2020-09-19_22-59-35.BMP,1,1,1,0.41,2,1
2659,2RKYA_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY37_2020-09-25_23-57-43.BMP,1,1,0,0.88,2,1
