,file name,label,vanti,train \ test,score,vanti with PR
53,1A1HS_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX5DY9SDX12SDY6_2020-10-20_04-05-17.JPG,0,1,0,0.29,1.0
56,1A1HS_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX8SDY11_2020-10-20_04-05-17.JPG,0,1,0,0.31,1.0
58,1A1HS_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX4DY12SDX3SDY20_2020-10-20_04-05-17.JPG,0,1,0,0.17,1.0
60,1A1HU_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX3DY8SDX4SDY30_2020-10-23_23-11-57.JPG,0,1,0,0.52,1.0
63,1A1HU_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX7DY5SDX3SDY20_2020-10-23_23-11-57.JPG,0,1,0,0.55,1.0
64,1A1HW_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX6DY11SDX1SDY11_2020-10-22_02-13-31.JPG,0,1,0,0.52,1.0
65,1A1HW_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX8SDY22_2020-10-22_02-13-31.JPG,0,1,0,0.32,1.0
67,1A1HW_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX5DY9SDX6SDY24_2020-10-22_02-13-31.JPG,0,1,1,0.51,1.0
68,1A1HW_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX5SDY16_2020-10-22_02-13-31.JPG,0,1,0,0.28,1.0
70,1A1I6_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX5DY9SDX9SDY34_2020-11-17_03-04-17.JPG,0,1,0,0.4,1.0
76,1A1I6_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX7DY5SDX13SDY18_2020-11-17_03-04-17.JPG,0,1,1,0.47,1.0
78,1A1I8_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX6DY11SDX1SDY11_2020-11-27_08-55-06.JPG,0,1,0,0.42,1.0
84,1A1I8_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX9DY7SDX5SDY16_2020-11-27_08-55-06.JPG,0,1,1,0.6,1.0
86,1A1I8_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY12SDX14SDY27_2020-11-27_08-55-06.JPG,0,1,0,0.5,1.0
89,1A1IA_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX3DY8SDX1SDY11_2020-11-17_03-12-24.JPG,0,1,0,0.41,1.0
96,1A1IA_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX17DY8SDX8SDY11_2020-11-17_03-12-24.JPG,0,1,0,0.37,1.0
100,1A1IC_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX8DY10SDX5SDY37_2020-10-21_22-33-23.JPG,0,1,0,0.27,1.0
102,1A1IC_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY12SDX14SDY27_2020-10-21_22-33-23.JPG,0,1,1,0.35,1.0
105,1A1IE_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX2SDY40_2020-10-20_21-18-26.JPG,0,1,0,0.12,1.0
106,1A1IE_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX12SDY6_2020-10-20_21-18-26.JPG,0,1,0,0.38,1.0
108,1A1IE_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX10SDY15_2020-10-20_21-18-26.JPG,0,1,0,0.35,1.0
110,1A1IE_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY12SDX8SDY11_2020-10-20_21-18-26.JPG,0,1,0,0.28,1.0
120,1A1IG_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX7DY5SDX3SDY20_2020-11-18_15-37-20.JPG,0,1,1,0.3,1.0
125,1A1II_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX17DY8SDX11SDY29_2020-12-06_03-03-24.JPG,0,1,0,0.35,1.0
131,1A1J6_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX4DY6SDX2SDY40_2020-11-18_09-40-39.JPG,0,1,1,0.26,1.0
134,1A1J6_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX16DY5SDX6SDY24_2020-11-18_09-40-39.JPG,0,1,0,0.41,1.0
148,1A1JM_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX12SDY42_2020-10-31_10-37-01.JPG,0,1,0,0.16,1.0
149,1A1JM_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX12SDY6_2020-10-31_10-37-01.JPG,0,1,1,0.41,1.0
153,1A1JM_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX4SDY9_2020-10-31_10-37-01.JPG,0,1,1,0.44,1.0
154,1A1JM_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY12SDX8SDY11_2020-10-31_10-37-01.JPG,0,1,0,0.24,1.0
156,1A1JQ_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX4SDY30_2020-11-17_07-19-41.JPG,0,1,0,0.4,1.0
160,1A1JQ_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX8DY13SDX14SDY27_2020-11-17_07-19-41.JPG,0,1,0,0.58,1.0
163,1A1K6_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX12SDY6_2020-11-18_14-27-20.JPG,0,1,1,0.14,1.0
171,1A1K8_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX12DY6SDX8SDY22_2020-10-22_03-45-25.JPG,0,1,0,0.5,1.0
174,1A1K8_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX9DY7SDX5SDY16_2020-10-22_03-45-25.JPG,0,1,0,0.18,1.0
175,1A1K8_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX9DY7SDX5SDY37_2020-10-22_03-45-25.JPG,0,1,0,0.17,1.0
176,1A1K8_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX5SDY16_2020-10-22_03-45-25.JPG,0,1,0,0.27,1.0
177,1A1K8_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX8DY13SDX4SDY9_2020-10-22_03-45-25.JPG,0,1,0,0.28,1.0
178,1A1K8_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX14SDY27_2020-10-22_03-45-25.JPG,0,1,0,0.28,1.0
179,1A1K8_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX17DY8SDX8SDY11_2020-10-22_03-45-25.JPG,0,1,0,0.6,1.0
183,1A1KA_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX11SDY29_2020-11-17_21-05-55.JPG,0,1,0,0.54,1.0
187,1A1KA_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX7DY5SDX13SDY18_2020-11-17_21-05-55.JPG,0,1,0,0.56,1.0
194,1A1KE_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY12SDX8SDY11_2020-11-16_20-01-38.JPG,0,1,1,0.22,1.0
196,1A1KE_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX7DY5SDX2SDY33_2020-11-16_20-01-38.JPG,0,1,0,0.36,1.0
197,1A1KE_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX16DY11SDX3SDY20_2020-11-16_20-01-38.JPG,0,1,0,0.34,1.0
198,1A1KG_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX6DY11SDX4SDY30_2020-11-18_15-24-30.JPG,0,1,0,0.31,1.0
199,1A1KG_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX16DY5SDX6SDY24_2020-11-18_15-24-30.JPG,0,1,0,0.46,1.0
205,1A1KI_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX3DY8SDX8SDY22_2020-11-19_10-52-11.JPG,0,1,0,0.36,1.0
206,1A1KI_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX1SDY11_2020-11-19_10-52-11.JPG,0,1,1,0.49,1.0
207,1A1KI_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX4SDY30_2020-11-19_10-52-11.JPG,0,1,0,0.41,1.0
208,1A1KI_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX5DY9SDX2SDY40_2020-11-19_10-52-11.JPG,0,1,0,0.6,1.0
209,1A1KI_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX5DY9SDX9SDY34_2020-11-19_10-52-11.JPG,0,1,1,0.23,1.0
210,1A1KI_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX10SDY15_2020-11-19_10-52-11.JPG,0,1,1,0.13,1.0
211,1A1KI_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX15DY8SDX13SDY45_2020-11-19_10-52-11.JPG,0,1,1,0.57,1.0
212,1A1KK_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX6DY11SDX4SDY30_2020-11-18_05-45-16.JPG,0,1,0,0.22,1.0
218,1A1KK_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY12SDX4SDY9_2020-11-18_05-45-16.JPG,0,1,1,0.54,1.0
219,1A1KM_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX12DY6SDX1SDY11_2020-11-19_13-59-19.JPG,0,1,0,0.2,1.0
220,1A1KM_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX12DY6SDX4SDY30_2020-11-19_20-13-08.JPG,0,1,0,0.12,1.0
221,1A1KM_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX12DY6SDX8SDY22_2020-11-19_13-59-19.JPG,0,1,0,0.28,1.0
222,1A1KM_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX8DY10SDX5SDY37_2020-11-19_13-59-19.JPG,0,1,1,0.15,1.0
224,1A1KM_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX8DY13SDX11SDY29_2020-11-19_20-13-08.JPG,0,1,0,0.6,1.0
226,1A1KM_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY12SDX4SDY9_2020-11-19_20-13-08.JPG,0,1,1,0.12,1.0
227,1A1KM_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY12SDX14SDY27_2020-11-19_13-59-19.JPG,0,1,1,0.2,1.0
228,1A1KM_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX17DY8SDX8SDY11_2020-11-19_13-59-19.JPG,0,1,0,0.35,1.0
230,1A1KM_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX7DY5SDX3SDY20_2020-11-19_13-59-19.JPG,0,1,1,0.27,1.0
231,1A1KM_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX10DY4SDX3SDY20_2020-11-19_13-59-19.JPG,0,1,1,0.49,1.0
232,1A1KM_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX16DY11SDX7SDY40_2020-11-19_20-13-08.JPG,0,1,0,0.34,1.0
234,1A1KO_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX3DY8SDX4SDY30_2020-11-16_14-00-28.JPG,0,1,0,0.22,1.0
235,1A1KO_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX5DY9SDX9SDY34_2020-11-16_14-00-28.JPG,0,1,0,0.22,1.0
238,1A1KO_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX8DY10SDX10SDY15_2020-11-16_14-00-28.JPG,0,1,0,0.49,1.0
243,1A1KO_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX10DY4SDX7SDY40_2020-11-16_14-00-28.JPG,0,1,0,0.59,1.0
244,1A1KO_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX16DY11SDX3SDY20_2020-11-16_14-00-28.JPG,0,1,0,0.45,1.0
248,1A1KQ_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX12DY6SDX4SDY30_2020-11-15_12-11-53.JPG,0,1,0,0.4,1.0
250,1A1KQ_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX8DY10SDX5SDY16_2020-11-15_12-11-53.JPG,0,1,0,0.49,1.0
253,1A1KS_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX3DY8SDX12SDY42_2020-11-20_22-19-58.JPG,0,1,0,0.54,1.0
255,1A1KS_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX8DY10SDX5SDY16_2020-11-20_22-19-58.JPG,0,1,0,0.5,1.0
256,1A1KS_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX5SDY16_2020-11-20_22-19-58.JPG,0,1,0,0.5,1.0
257,1A1KS_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX7DY5SDX2SDY33_2020-11-20_22-19-58.JPG,0,1,0,0.45,1.0
258,1A1KS_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX7DY5SDX3SDY20_2020-11-20_22-19-58.JPG,0,1,0,0.17,1.0
259,1A1KS_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX10DY4SDX13SDY18_2020-11-20_22-19-58.JPG,0,1,0,0.5,1.0
260,1A1KS_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX16DY11SDX3SDY20_2020-11-20_22-19-58.JPG,0,1,0,0.32,1.0
261,1A1KU_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX5DY9SDX6SDY24_2020-11-15_15-43-11.JPG,0,1,0,0.19,1.0
263,1A1KU_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX9DY7SDX5SDY16_2020-11-15_15-43-11.JPG,0,1,1,0.35,1.0
264,1A1KU_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX8DY13SDX4SDY9_2020-11-15_15-43-11.JPG,0,1,0,0.2,1.0
267,1A1KU_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX10DY4SDX3SDY20_2020-11-15_15-43-11.JPG,0,1,0,0.56,1.0
268,1A1KW_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX12SDY42_2020-11-20_21-33-56.JPG,0,1,0,0.3,1.0
269,1A1KW_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX8DY10SDX5SDY16_2020-11-20_21-33-56.JPG,0,1,0,0.23,1.0
270,1A1KW_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX8DY10SDX5SDY37_2020-11-20_21-33-56.JPG,0,1,1,0.36,1.0
271,1A1KW_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX8DY13SDX4SDY9_2020-11-20_21-33-56.JPG,0,1,0,0.35,1.0
272,1A1KW_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX8DY13SDX11SDY29_2020-11-20_21-33-56.JPG,0,1,0,0.18,1.0
275,1A1KY_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX5DY9SDX9SDY34_2020-11-16_00-59-24.JPG,0,1,0,0.29,1.0
277,1A1KY_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX8DY13SDX4SDY9_2020-11-16_00-59-24.JPG,0,1,1,0.58,1.0
295,1A1L4_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX16DY5SDX2SDY40_2020-11-23_21-30-11.JPG,0,1,0,0.37,1.0
297,1A1L4_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX16DY5SDX9SDY34_2020-11-23_21-30-11.JPG,0,1,1,0.31,1.0
299,1A1L4_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX13SDY45_2020-11-23_21-30-11.JPG,0,1,0,0.2,1.0
301,1A1L4_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX7DY5SDX13SDY18_2020-11-23_21-30-11.JPG,0,1,0,0.41,1.0
302,1A1L4_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX10DY4SDX2SDY33_2020-11-23_21-30-11.JPG,0,1,1,0.17,1.0
303,1A1L6_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX3DY8SDX1SDY11_2020-11-23_05-04-07.JPG,0,1,0,0.25,1.0
305,1A1L6_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX12DY6SDX12SDY42_2020-11-23_05-04-07.JPG,0,1,0,0.35,1.0
311,1A1L6_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY12SDX11SDY29_2020-11-23_05-04-07.JPG,0,1,1,0.29,1.0
313,1A1L6_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX10DY4SDX2SDY33_2020-11-23_05-04-07.JPG,0,1,0,0.43,1.0
314,1A1L8_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX3DY8SDX1SDY11_2020-11-21_05-55-29.JPG,0,1,1,0.36,1.0
315,1A1L8_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX6DY11SDX1SDY11_2020-11-21_05-55-29.JPG,0,1,1,0.2,1.0
317,1A1L8_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX9DY7SDX10SDY15_2020-11-21_05-55-29.JPG,0,1,0,0.55,1.0
318,1A1L8_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX8DY13SDX11SDY29_2020-11-21_05-55-29.JPG,0,1,1,0.32,1.0
325,1A1LA_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX8SDY22_2020-11-25_11-55-56.JPG,0,1,0,0.28,1.0
326,1A1LA_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX12DY6SDX4SDY30_2020-11-25_11-55-56.JPG,0,1,0,0.39,1.0
330,1A1LA_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX8DY13SDX11SDY29_2020-11-25_11-55-56.JPG,0,1,0,0.24,1.0
331,1A1LA_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX4SDY9_2020-11-25_11-55-56.JPG,0,1,0,0.25,1.0
332,1A1LA_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX4DY12SDX3SDY20_2020-11-25_11-55-56.JPG,0,1,0,0.45,1.0
333,1A1LA_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX4DY12SDX7SDY40_2020-11-25_11-55-56.JPG,0,1,0,0.32,1.0
337,1A1LC_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX5SDY16_2020-11-26_04-33-14.JPG,0,1,1,0.53,1.0
338,1A1LC_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX17DY8SDX14SDY27_2020-11-26_04-33-14.JPG,0,1,0,0.45,1.0
342,1A1LE_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX8DY10SDX5SDY16_2020-12-06_09-51-40.JPG,0,1,1,0.31,1.0
343,1A1LE_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX5SDY16_2020-12-06_09-51-40.JPG,0,1,0,0.43,1.0
349,1A1LG_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX6DY11SDX4SDY30_2020-11-11_10-33-03.JPG,0,1,0,0.22,1.0
361,1A1LG_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX7DY5SDX13SDY18_2020-11-11_10-33-03.JPG,0,1,1,0.45,1.0
364,1A1LI_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX3DY8SDX8SDY22_2020-11-26_19-05-04.JPG,0,1,1,0.36,1.0
366,1A1LI_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX15DY8SDX5SDY16_2020-11-26_19-05-04.JPG,0,1,0,0.42,1.0
369,1A1LI_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX16DY11SDX3SDY20_2020-11-26_19-05-04.JPG,0,1,0,0.21,1.0
370,1A1LK_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX3DY8SDX1SDY11_2020-12-03_04-47-44.JPG,0,1,0,0.27,1.0
371,1A1LK_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX8SDY22_2020-12-03_04-47-44.JPG,0,1,0,0.2,1.0
377,1A1LK_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX16DY11SDX13SDY18_2020-12-03_04-47-44.JPG,0,1,0,0.34,1.0
379,1A1LM_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX1SDY11_2020-11-27_13-39-36.JPG,0,1,0,0.45,1.0
380,1A1LM_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX12DY6SDX4SDY30_2020-11-27_13-39-36.JPG,0,1,0,0.21,1.0
387,1A1LM_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX10DY4SDX7SDY40_2020-11-27_13-39-36.JPG,0,1,1,0.16,1.0
389,1A1LO_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX12DY6SDX4SDY30_2020-11-17_16-46-40.JPG,0,1,0,0.45,1.0
392,1A1LO_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX5SDY16_2020-11-17_16-46-40.JPG,0,1,0,0.3,1.0
396,1A1LO_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX17DY8SDX14SDY27_2020-11-17_16-46-40.JPG,0,1,0,0.59,1.0
406,1A1LQ_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX17DY8SDX8SDY11_2020-11-23_04-53-38.JPG,0,1,0,0.35,1.0
410,1A1LQ_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX16DY11SDX2SDY33_2020-11-23_04-53-38.JPG,0,1,1,0.44,1.0
412,1A1LS_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX3DY8SDX12SDY42_2020-11-22_00-57-17.JPG,0,1,0,0.16,1.0
417,1A1LS_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX6SDY24_2020-11-22_00-57-17.JPG,0,1,0,0.24,1.0
422,1A1LS_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX4DY12SDX13SDY18_2020-11-22_00-57-17.JPG,0,1,0,0.29,1.0
425,1A1LU_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX16DY5SDX6SDY24_2020-11-27_14-07-12.JPG,0,1,1,0.51,1.0
