file name,label,vanti,train \ test,score,vanti label,vanti with pr
3AIXU_FSGB_VE_MEAS_FIB_{MEASURELB}_P004_DX14DY11SDX7SDY18_2020-11-10_04-49-27.BMP,0,0,0,0.41,2,0
3AIYM_FSGB_VE_MEAS_FIB_{MEASURELB}_P004_DX14DY11SDX7SDY18_2020-11-13_20-09-09.BMP,0,0,0,0.57,2,0
3AIYM_FSGB_VE_MEAS_FIB_{MEASURELB}_P006_DX17DY9SDX7SDY18_2020-11-13_20-09-09.BMP,0,0,0,0.43,1,0
6S3SK_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-12-04_00-37-04.BMP,0,0,1,0.57,2,0
6S3TC_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-12-04_02-40-56.BMP,0,0,1,0.45,0,1
H51F2_FSGB_VE_MEAS_FIB_{MEASURELB}_P001_DX10DY9SDX7SDY18_2020-12-28_17-53-50.BMP,0,0,0,0.70,1,0
H51F2_FSGB_VE_MEAS_FIB_{MEASURELB}_P007_DX6DY6SDX7SDY18_2020-12-28_17-53-50.BMP,0,0,0,0.45,1,0
S5128_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-12-12_16-21-06.BMP,0,0,1,0.53,1,0
U8KYW_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-12-28_19-01-38.BMP,0,0,0,0.62,2,0
U8L4U_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-11-09_19-51-34.BMP,0,0,1,0.67,2,0
U8LLY_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-27_07-27-06.BMP,0,0,0,0.60,2,0
U8LLY_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY18_2020-11-27_07-27-06.BMP,0,0,1,0.45,1,0
U8LY2_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY18_2020-11-29_03-00-22.BMP,0,0,0,0.58,1,0
U8M4G_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY18_2020-11-28_01-57-52.BMP,0,0,0,0.50,2,0
U8M70_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY18_2020-12-13_02-36-20.BMP,0,0,0,0.87,2,0
U8M78_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-12-24_04-13-11.BMP,0,0,0,0.66,2,0
U8MBY_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-12-14_09-42-17.BMP,0,0,0,0.50,2,0
U8MEM_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-12-27_20-40-53.BMP,0,0,0,0.69,2,0
U8MEO_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-12-16_16-05-46.BMP,0,0,0,0.87,2,0
U8MEO_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-12-16_16-05-46.BMP,0,0,0,0.86,2,0
U8MEQ_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-12-02_23-37-14.BMP,0,0,0,0.54,2,0
U8MEQ_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-12-02_23-37-14.BMP,0,0,0,0.84,1,0
U8MF2_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-12-14_17-58-37.BMP,0,0,0,0.67,2,0
U8MF2_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-12-14_17-58-37.BMP,0,0,0,0.50,2,0
U8MF2_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-12-14_17-58-37.BMP,0,0,1,0.65,2,0
V91MS_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-18_15-50-45.BMP,0,0,0,0.41,1,0
V91W2_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-12-18_17-50-11.BMP,0,0,0,0.93,2,0
V9224_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-11-18_13-53-40.BMP,0,0,1,0.89,2,0
V9224_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-18_13-53-40.BMP,0,0,1,0.73,2,0
V9260_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY17_2020-11-02_12-46-03.BMP,0,0,0,0.65,2,0
W40CK_FSGB_VE_MEAS_FIB_{MEASURELB}_P003_DX6DY11SDX7SDY18_2020-11-07_17-39-06.BMP,0,0,0,0.80,2,0
W407G_FSGB_VE_MEAS_FIB_{MEASURELB}_P009_DX10DY3SDX7SDY18_2020-12-30_23-03-23.BMP,0,0,0,0.68,1,0
1A1A2_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-12-01_02-33-19.BMP,0,0,0,0.87,2,0
1A1A4_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY17_2020-12-24_12-07-10.BMP,0,0,0,0.81,2,0
1A1A4_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY13_2020-12-24_12-07-10.BMP,0,0,1,0.93,2,0
1A1A4_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY17_2020-12-24_12-07-10.BMP,0,0,0,0.56,1,0
1A1A4_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY17_2020-12-24_12-07-10.BMP,0,0,0,0.64,2,0
1A1A4_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY17_2020-12-24_12-07-10.BMP,0,0,0,0.76,2,0
1A1A4_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY17_2020-12-24_12-07-10.BMP,0,0,0,0.78,1,0
1A1A4_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY17_2020-12-24_12-07-10.BMP,0,0,0,0.86,2,0
1A1A6_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-11-18_19-09-34.BMP,0,0,1,0.60,1,0
1A1A6_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-11-18_19-09-34.BMP,0,0,0,0.58,2,0
1A1A6_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-18_19-09-34.BMP,0,0,1,0.42,2,0
1A1A8_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-11-22_15-20-57.BMP,0,0,0,0.74,2,0
1A1AE_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-12-13_08-14-30.BMP,0,0,0,0.53,2,0
1A1AE_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-12-13_08-14-30.BMP,0,0,0,0.89,2,0
1A1AE_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-12-13_08-14-30.BMP,0,0,1,0.85,2,0
1A1AG_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY16_2020-12-20_00-18-48.BMP,0,0,0,0.89,2,0
1A1AG_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-12-19_15-44-54.BMP,0,0,0,0.82,2,0
1A1AG_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY16_2020-12-20_00-18-48.BMP,0,0,0,0.73,1,0
1A1AG_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX10DY9SDX7SDY16_2020-12-20_00-18-48.BMP,0,0,0,0.70,2,0
1A1AG_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-12-19_15-44-54.BMP,0,0,1,0.66,1,0
1A1AI_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY18_2020-12-01_21-00-06.BMP,0,0,1,0.61,2,0
1A1AI_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-12-01_21-00-06.BMP,0,0,1,0.61,2,0
1A1AI_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-12-01_21-00-06.BMP,0,0,0,0.76,2,0
1A1AI_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-12-01_21-00-06.BMP,0,0,0,0.82,1,0
1A1AI_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-12-01_21-00-06.BMP,0,0,0,0.59,2,0
1A1AI_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY18_2020-12-01_21-00-06.BMP,0,0,0,0.83,2,0
1A1AK_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-11-19_10-54-01.BMP,0,0,0,0.60,2,0
1A1AK_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-19_10-54-01.BMP,0,0,0,0.68,2,0
1A1AM_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-12-20_19-30-52.BMP,0,0,0,0.68,1,0
1A1AM_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY18_2020-12-20_19-30-52.BMP,0,0,0,0.75,2,0
1A1AM_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-12-20_19-30-52.BMP,0,0,0,0.89,2,0
1A1AM_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-12-20_19-30-52.BMP,0,0,1,0.65,2,0
1A1AM_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-12-20_19-30-52.BMP,0,0,1,0.77,1,0
1A1AM_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-12-20_19-30-52.BMP,0,0,0,0.47,2,0
1A1AM_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-12-20_19-30-52.BMP,0,0,0,0.79,2,0
1A1AM_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY18_2020-12-20_19-30-52.BMP,0,0,0,0.49,1,0
1A1AO_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-12-22_08-02-14.BMP,0,0,0,0.45,2,0
1A1AS_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-11-25_15-15-09.BMP,0,0,0,0.57,2,0
1A1AS_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY18_2020-11-25_15-15-09.BMP,0,0,1,0.86,1,0
1A1AS_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY18_2020-11-25_15-15-09.BMP,0,0,1,0.88,2,0
1A1B0_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY18_2020-12-22_03-15-44.BMP,0,0,0,0.90,1,0
1A1B0_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-12-22_03-15-44.BMP,0,0,0,0.76,2,0
1A1B2_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY16_2020-12-18_03-57-10.BMP,0,0,0,0.92,1,0
1A1B2_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY16_2020-12-18_03-57-10.BMP,0,0,1,0.88,1,0
1A1B2_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY16_2020-12-18_03-57-10.BMP,0,0,0,0.65,1,0
1A1B2_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX17DY9SDX7SDY16_2020-12-18_03-57-10.BMP,0,0,0,0.61,1,0
1A1B2_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX14DY6SDX7SDY16_2020-12-18_03-57-10.BMP,0,0,0,0.51,2,0
1A1B2_FSGB_VE_MEAS_FIB_{MEASURE}_P010_DX10DY3SDX7SDY16_2020-12-18_03-57-10.BMP,0,0,0,0.58,2,0
1A1B6_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-11-08_06-50-38.BMP,0,0,0,0.82,2,0
1A1B6_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-11-08_06-50-38.BMP,0,0,0,0.42,1,0
1A1BA_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY17_2020-12-23_22-05-12.BMP,0,0,0,0.43,1,0
1A1BA_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY17_2020-12-23_22-05-12.BMP,0,0,1,0.66,2,0
1A1BA_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-12-21_02-47-45.BMP,0,0,0,0.87,1,0
1A1BA_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY17_2020-12-23_22-05-12.BMP,0,0,0,0.67,2,0
1A1BA_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY17_2020-12-23_22-05-12.BMP,0,0,1,0.82,1,0
1A1BA_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-12-21_02-47-45.BMP,0,0,0,0.58,2,0
1A1BA_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY17_2020-12-23_22-05-12.BMP,0,0,0,0.57,2,0
1A1BA_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-12-21_02-47-45.BMP,0,0,0,0.86,1,0
1A1BA_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY13_2020-12-23_22-05-12.BMP,0,0,0,0.85,2,0
1A1BE_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-11-02_01-49-46.BMP,0,0,0,0.84,1,0
1A1BE_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY18_2020-11-02_01-49-46.BMP,0,0,0,0.63,2,0
1A1BE_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-11-02_01-49-46.BMP,0,0,1,0.48,2,0
1A1BE_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-11-02_01-49-46.BMP,0,0,0,0.66,1,0
1A1BE_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-11-02_01-49-46.BMP,0,0,1,0.91,2,0
1A1BE_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-11-02_01-49-46.BMP,0,0,0,0.93,2,0
1A1BE_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-11-02_01-49-46.BMP,0,0,0,0.70,1,0
1A1BE_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-02_01-49-46.BMP,0,0,0,0.47,2,0
1A1BE_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY18_2020-11-02_01-49-46.BMP,0,0,1,0.87,2,0
1A1BI_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-12-24_07-58-33.BMP,0,0,0,0.43,1,0
1A1BI_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-12-24_07-58-33.BMP,0,0,0,0.49,2,0
1A1BI_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-12-24_07-58-33.BMP,0,0,0,0.93,1,0
1A1BI_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-12-24_07-58-33.BMP,0,0,0,0.81,2,0
1A1BK_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-11-28_09-47-32.BMP,0,0,0,0.65,2,0
1A1BK_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-11-28_09-47-32.BMP,0,0,0,0.56,2,0
1A1BK_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-11-28_09-47-32.BMP,0,0,0,0.78,2,0
1A1BK_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-11-28_09-47-32.BMP,0,0,1,0.43,2,0
1A1BK_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-28_09-47-32.BMP,0,0,1,0.74,2,0
1A1BK_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY18_2020-11-28_09-47-32.BMP,0,0,0,0.55,2,0
1A1BO_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-12-24_00-24-47.BMP,0,0,0,0.69,2,0
1A1BO_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-12-24_00-24-47.BMP,0,0,1,0.89,1,0
1A1BO_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-12-24_00-24-47.BMP,0,0,0,0.87,2,0
1A1BO_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-12-24_00-24-47.BMP,0,0,1,0.40,2,0
1A1BO_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-12-24_00-24-47.BMP,0,0,0,0.49,2,0
1A1C6_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY14_2020-12-29_09-36-10.BMP,0,0,1,0.57,1,0
1A1C6_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-12-29_09-36-10.BMP,0,0,1,0.45,2,0
1A1C6_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY14_2020-12-29_09-36-10.BMP,0,0,0,0.94,2,0
1A1CG_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-12-13_09-53-50.BMP,0,0,0,0.43,1,0
1A1CG_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-12-13_09-53-50.BMP,0,0,0,0.45,2,0
1A1D8_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY17_2020-12-30_21-00-54.BMP,0,0,0,0.67,2,0
1A1D8_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY13_2020-12-30_21-00-54.BMP,0,0,1,0.66,1,0
1A1D8_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY17_2020-12-30_21-00-54.BMP,0,0,1,0.65,2,0
1A1D8_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY17_2020-12-30_21-00-54.BMP,0,0,0,0.50,2,0
1A1D8_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY17_2020-12-30_21-00-54.BMP,0,0,1,0.49,2,0
1A1EE_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY11SDX7SDY18_2020-11-22_13-08-15.BMP,0,0,1,0.52,2,0
1A1EE_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX3DY9SDX7SDY18_2020-11-22_13-08-15.BMP,0,0,0,0.60,1,0
1A1IU_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-11-18_14-58-55.BMP,0,0,0,0.82,1,0
1A1IU_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-11-18_14-58-55.BMP,0,0,0,0.78,2,0
1A1IU_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-11-18_14-58-55.BMP,0,0,0,0.78,1,0
1A1IU_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-11-18_14-58-55.BMP,0,0,0,0.83,1,0
1A1IU_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-11-18_14-58-55.BMP,0,0,0,0.46,2,0
1A1IU_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY18_2020-11-18_14-58-55.BMP,0,0,1,0.42,2,0
1A1IW_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-12-27_21-30-57.BMP,0,0,0,0.93,2,0
1A1IW_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-12-27_21-30-57.BMP,0,0,0,0.53,2,0
