file name,label,vanti,train \ test,score,vanti with PR
1A1HM_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX7DY5SDX2SDY33_2020-11-28_10-46-21.JPG,0,0,0,0.92,0
1A1HO_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX6DY11SDX8SDY22_2020-10-26_07-39-12.JPG,0,0,0,0.48,0
1A1HO_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX1SDY11_2020-10-26_07-39-12.JPG,0,1,0,0.55,1
1A1HO_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX5DY9SDX9SDY34_2020-10-26_07-39-12.JPG,0,0,0,0.77,0
1A1HO_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX16DY5SDX2SDY40_2020-10-26_07-39-12.JPG,0,1,1,0.26,1
1A1HO_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX5SDY16_2020-10-26_07-39-12.JPG,0,1,0,0.35,1
1A1HO_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX13SDY45_2020-10-26_07-39-12.JPG,0,0,1,0.53,0
1A1HO_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY12SDX14SDY27_2020-10-26_07-39-12.JPG,0,1,0,0.25,1
1A1HO_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX10DY4SDX7SDY40_2020-10-26_07-39-12.JPG,0,1,0,0.21,1
1A1HO_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX16DY11SDX2SDY33_2020-10-26_07-39-12.JPG,0,1,0,0.26,1
1A1HS_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX3DY8SDX8SDY22_2020-10-20_04-05-17.JPG,0,0,0,0.55,0
1A1HS_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX6DY11SDX4SDY30_2020-10-20_04-05-17.JPG,0,0,0,0.76,0
1A1HS_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX5DY9SDX12SDY6_2020-10-20_04-05-17.JPG,0,1,0,0.29,1
1A1HS_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX2SDY40_2020-10-20_04-05-17.JPG,0,0,0,0.74,0
1A1HS_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX6SDY24_2020-10-20_04-05-17.JPG,0,0,0,0.66,0
1A1HS_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX8SDY11_2020-10-20_04-05-17.JPG,0,1,0,0.31,1
1A1HS_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX14SDY27_2020-10-20_04-05-17.JPG,0,0,1,0.57,0
1A1HS_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX4DY12SDX3SDY20_2020-10-20_04-05-17.JPG,0,1,0,0.17,1
1A1HS_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX10DY4SDX13SDY18_2020-10-20_04-05-17.JPG,0,0,0,0.70,0
1A1HU_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX3DY8SDX4SDY30_2020-10-23_23-11-57.JPG,0,1,0,0.52,1
1A1HU_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX16DY5SDX12SDY6_2020-10-23_23-11-57.JPG,0,0,0,0.94,0
1A1HU_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY12SDX14SDY27_2020-10-23_23-11-57.JPG,0,0,0,0.65,0
1A1HU_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX7DY5SDX3SDY20_2020-10-23_23-11-57.JPG,0,1,0,0.55,1
1A1HW_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX6DY11SDX1SDY11_2020-10-22_02-13-31.JPG,0,1,0,0.52,1
1A1HW_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX8SDY22_2020-10-22_02-13-31.JPG,0,1,0,0.32,1
1A1HW_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX4DY6SDX6SDY24_2020-10-22_02-13-31.JPG,0,0,0,0.40,0
1A1HW_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX5DY9SDX6SDY24_2020-10-22_02-13-31.JPG,0,1,1,0.51,1
1A1HW_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX5SDY16_2020-10-22_02-13-31.JPG,0,1,0,0.28,1
1A1HW_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX7DY5SDX13SDY18_2020-10-22_02-13-31.JPG,0,0,0,0.80,0
1A1I6_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX5DY9SDX9SDY34_2020-11-17_03-04-17.JPG,0,1,0,0.40,1
1A1I6_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX9SDY34_2020-11-17_03-04-17.JPG,0,0,0,0.88,0
1A1I6_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX5SDY16_2020-11-17_03-04-17.JPG,0,0,0,0.75,0
1A1I6_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX15DY8SDX10SDY15_2020-11-17_03-04-17.JPG,0,0,1,0.50,0
1A1I6_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX11SDY29_2020-11-17_03-04-17.JPG,0,0,0,0.91,0
1A1I6_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY12SDX11SDY29_2020-11-17_03-04-17.JPG,0,0,0,0.58,0
1A1I6_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX7DY5SDX13SDY18_2020-11-17_03-04-17.JPG,0,1,1,0.47,1
1A1I6_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX16DY11SDX2SDY33_2020-11-17_03-04-17.JPG,0,1,1,0.44,0
1A1I8_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX6DY11SDX1SDY11_2020-11-27_08-55-06.JPG,0,1,0,0.42,1
1A1I8_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX4DY6SDX2SDY40_2020-11-27_08-55-06.JPG,0,0,0,0.61,0
1A1I8_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX2SDY40_2020-11-27_08-55-06.JPG,0,0,1,0.64,0
1A1I8_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX12SDY6_2020-11-27_08-55-06.JPG,0,0,0,0.60,0
1A1I8_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX8DY10SDX5SDY16_2020-11-27_08-55-06.JPG,0,0,1,0.78,0
1A1I8_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX8DY10SDX10SDY15_2020-11-27_08-55-06.JPG,0,0,1,0.57,0
1A1I8_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX9DY7SDX5SDY16_2020-11-27_08-55-06.JPG,0,1,1,0.60,1
1A1I8_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX8DY13SDX8SDY11_2020-11-27_08-55-06.JPG,0,0,0,0.41,0
1A1I8_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY12SDX14SDY27_2020-11-27_08-55-06.JPG,0,1,0,0.50,1
1A1I8_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX17DY8SDX11SDY29_2020-11-27_08-55-06.JPG,0,0,1,0.93,0
1A1I8_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX4DY12SDX13SDY18_2020-11-27_08-55-06.JPG,0,0,1,0.71,0
1A1IA_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX3DY8SDX1SDY11_2020-11-17_03-12-24.JPG,0,1,0,0.41,1
1A1IA_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX4SDY30_2020-11-17_03-12-24.JPG,0,0,1,0.57,0
1A1IA_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX4DY6SDX12SDY6_2020-11-17_03-12-24.JPG,0,0,0,0.56,0
1A1IA_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX8DY10SDX5SDY37_2020-11-17_03-12-24.JPG,0,0,0,0.81,0
1A1IA_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX9DY7SDX10SDY15_2020-11-17_03-12-24.JPG,0,0,1,0.73,0
1A1IA_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX8DY13SDX14SDY27_2020-11-17_03-12-24.JPG,0,0,0,0.52,0
1A1IA_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX11SDY29_2020-11-17_03-12-24.JPG,0,0,0,0.84,0
1A1IA_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX17DY8SDX8SDY11_2020-11-17_03-12-24.JPG,0,1,0,0.37,1
1A1IA_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX7DY5SDX13SDY18_2020-11-17_03-12-24.JPG,0,0,1,0.54,0
1A1IA_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX16DY11SDX2SDY33_2020-11-17_03-12-24.JPG,0,0,0,0.67,0
1A1IC_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX4DY6SDX9SDY34_2020-10-21_22-33-23.JPG,0,0,0,0.41,0
1A1IC_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX8DY10SDX5SDY37_2020-10-21_22-33-23.JPG,0,1,0,0.27,1
1A1IC_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX9DY7SDX13SDY45_2020-10-21_22-33-23.JPG,0,0,1,0.90,0
1A1IC_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY12SDX14SDY27_2020-10-21_22-33-23.JPG,0,1,1,0.35,1
1A1IC_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX17DY8SDX4SDY9_2020-10-21_22-33-23.JPG,0,0,0,0.70,0
1A1IC_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX10DY4SDX13SDY18_2020-10-21_22-33-23.JPG,0,0,1,0.43,0
1A1IE_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX2SDY40_2020-10-20_21-18-26.JPG,0,1,0,0.12,1
1A1IE_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX12SDY6_2020-10-20_21-18-26.JPG,0,1,0,0.38,1
1A1IE_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX8DY10SDX13SDY45_2020-10-20_21-18-26.JPG,0,0,0,0.65,0
1A1IE_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX10SDY15_2020-10-20_21-18-26.JPG,0,1,0,0.35,1
1A1IE_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX15DY8SDX5SDY37_2020-10-20_21-18-26.JPG,0,0,0,0.61,0
1A1IE_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY12SDX8SDY11_2020-10-20_21-18-26.JPG,0,1,0,0.28,1
1A1IE_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX17DY8SDX4SDY9_2020-10-20_21-18-26.JPG,0,0,0,0.88,0
1A1IE_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX16DY11SDX13SDY18_2020-10-20_21-18-26.JPG,0,0,0,0.48,0
1A1IG_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX12DY6SDX4SDY30_2020-11-18_15-37-20.JPG,0,0,0,0.41,0
1A1IG_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX4DY6SDX2SDY40_2020-11-18_15-37-20.JPG,0,0,0,0.68,0
1A1IG_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX15DY8SDX10SDY15_2020-11-18_15-37-20.JPG,0,0,0,0.40,0
1A1IG_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX8DY13SDX4SDY9_2020-11-18_15-37-20.JPG,0,0,0,0.66,0
1A1IG_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX8DY13SDX8SDY11_2020-11-18_15-37-20.JPG,0,0,0,0.70,0
1A1IG_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX4SDY9_2020-11-18_15-37-20.JPG,0,1,1,0.16,0
1A1IG_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX8SDY11_2020-11-18_15-37-20.JPG,0,0,1,0.72,0
1A1IG_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX7DY5SDX3SDY20_2020-11-18_15-37-20.JPG,0,1,1,0.30,1
1A1II_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX5DY9SDX12SDY6_2020-12-06_03-03-24.JPG,0,0,0,0.94,0
1A1II_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX9DY7SDX5SDY37_2020-12-06_03-03-24.JPG,0,0,0,0.55,0
1A1II_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX8DY13SDX4SDY9_2020-12-06_03-03-24.JPG,0,0,1,0.49,0
1A1II_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX11SDY29_2020-12-06_03-03-24.JPG,0,0,0,0.55,0
1A1II_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX17DY8SDX11SDY29_2020-12-06_03-03-24.JPG,0,1,0,0.35,1
1A1II_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX4DY12SDX13SDY18_2020-12-06_03-03-24.JPG,0,0,0,0.43,0
1A1II_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX16DY11SDX2SDY33_2020-12-06_03-03-24.JPG,0,0,1,0.52,0
1A1J6_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX6DY11SDX4SDY30_2020-11-18_09-40-39.JPG,0,0,0,0.77,0
1A1J6_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX6DY11SDX12SDY42_2020-11-18_09-40-39.JPG,0,0,1,0.74,0
1A1J6_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX12DY6SDX1SDY11_2020-11-18_09-40-39.JPG,0,0,0,0.80,0
1A1J6_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX4DY6SDX2SDY40_2020-11-18_09-40-39.JPG,0,1,1,0.26,1
1A1J6_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX5DY9SDX9SDY34_2020-11-18_09-40-39.JPG,0,0,1,0.44,0
1A1J6_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX16DY5SDX2SDY40_2020-11-18_09-40-39.JPG,0,0,0,0.51,0
1A1J6_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX16DY5SDX6SDY24_2020-11-18_09-40-39.JPG,0,1,0,0.41,1
1A1J6_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY12SDX11SDY29_2020-11-18_09-40-39.JPG,0,0,1,0.60,0
1A1JC_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX1SDY11_2020-11-18_09-40-39.JPG,0,0,0,0.49,0
1A1JC_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX4DY6SDX2SDY40_2020-11-18_09-40-39.JPG,0,0,0,0.46,0
1A1JC_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX9SDY34_2020-11-18_09-40-39.JPG,0,0,1,0.70,0
1A1JC_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX9DY7SDX10SDY15_2020-11-18_09-40-39.JPG,0,0,0,0.92,0
1A1JC_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX15DY8SDX13SDY45_2020-11-18_09-40-39.JPG,0,0,0,0.84,0
1A1JC_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX8SDY11_2020-11-18_09-40-39.JPG,0,0,1,0.44,0
1A1JC_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX11SDY29_2020-11-18_09-40-39.JPG,0,0,1,0.49,0
1A1JC_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY12SDX8SDY11_2020-11-18_09-40-39.JPG,0,0,1,0.83,0
1A1JC_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX10DY4SDX2SDY33_2020-11-18_09-40-39.JPG,0,0,0,0.47,0
1A1JC_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX10DY4SDX7SDY40_2020-11-18_09-40-39.JPG,0,0,1,0.81,0
1A1JC_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX10DY4SDX13SDY18_2020-11-18_09-40-39.JPG,0,0,0,0.45,0
1A1JM_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX3DY8SDX12SDY42_2020-10-31_10-37-01.JPG,0,0,1,0.63,0
1A1JM_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX12SDY42_2020-10-31_10-37-01.JPG,0,1,0,0.16,1
1A1JM_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX12SDY6_2020-10-31_10-37-01.JPG,0,1,1,0.41,1
1A1JM_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX8DY10SDX10SDY15_2020-10-31_10-37-01.JPG,0,0,0,0.56,0
1A1JM_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX9DY7SDX5SDY37_2020-10-31_10-37-01.JPG,0,0,1,0.69,0
1A1JM_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX8DY13SDX4SDY9_2020-10-31_10-37-01.JPG,0,0,0,0.63,0
1A1JM_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX4SDY9_2020-10-31_10-37-01.JPG,0,1,1,0.44,1
1A1JM_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY12SDX8SDY11_2020-10-31_10-37-01.JPG,0,1,0,0.24,1
1A1JQ_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX1SDY11_2020-11-17_07-19-41.JPG,0,0,0,0.93,0
1A1JQ_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX4SDY30_2020-11-17_07-19-41.JPG,0,1,0,0.40,1
1A1JQ_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX5DY9SDX6SDY24_2020-11-17_07-19-41.JPG,0,0,1,0.94,0
