file name,label,vanti,train \ test,score,vanti with context data
1A1AC_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY29_2020-11-30_14-45-22.BMP,0,0,1,0.75,0
1A1AC_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY28_2020-12-02_01-19-19.BMP,0,0,0,0.51,0
1A1AC_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY29_2020-11-30_14-45-22.BMP,0,0,1,0.54,0
1A1AC_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY28_2020-12-02_01-19-19.BMP,0,0,1,0.47,0
1A1AC_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY29_2020-11-30_14-45-22.BMP,0,0,1,0.64,0
1A1AC_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY28_2020-12-02_01-19-19.BMP,0,0,0,0.49,0
1A1AC_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY29_2020-11-30_14-45-22.BMP,0,0,0,0.57,0
1A1AC_WP2_CM_MEAS_FIB_{MEASURE}_P008_DX11DY11SDX4SDY28_2020-12-02_01-19-19.BMP,0,0,0,0.80,0
1A1AC_WP2_CM_MEAS_FIB_{MEASURE}_P009_DX3DY12SDX4SDY28_2020-12-02_01-19-19.BMP,0,0,0,0.50,0
1A1AE_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY30_2020-11-02_14-52-56.BMP,0,0,0,0.69,0
1A1AE_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY30_2020-11-02_14-52-56.BMP,0,0,0,0.84,0
1A1AE_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY30_2020-11-02_14-52-56.BMP,0,0,0,0.64,0
1A1AE_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY30_2020-11-02_14-52-56.BMP,0,0,0,0.83,0
1A1AE_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY30_2020-11-02_14-52-56.BMP,0,0,1,0.72,0
1A1AE_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY30_2020-11-02_14-52-56.BMP,0,0,0,0.55,0
1A1AG_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY30_2020-11-23_13-23-30.BMP,0,0,0,0.86,0
1A1AG_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY30_2020-11-23_13-23-30.BMP,0,0,0,0.59,0
1A1AG_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY30_2020-11-23_13-23-30.BMP,0,0,1,0.56,0
1A1AG_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY30_2020-11-23_13-23-30.BMP,0,0,1,0.71,0
1A1AG_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY30_2020-11-23_13-23-30.BMP,0,0,1,0.86,0
1A1AG_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY30_2020-11-23_13-23-30.BMP,0,0,0,0.59,0
1A1AI_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY29_2020-11-12_20-45-47.BMP,0,0,1,0.89,0
1A1AI_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY30_2020-11-11_08-27-09.BMP,0,0,1,0.56,0
1A1AI_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY29_2020-11-12_20-45-47.BMP,0,0,0,0.40,0
1A1AI_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY30_2020-11-11_08-27-09.BMP,0,0,0,0.94,0
1A1AI_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY29_2020-11-12_20-45-47.BMP,0,0,0,0.60,0
1A1AI_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY30_2020-11-11_08-27-09.BMP,0,0,0,0.40,0
1A1AI_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY29_2020-11-12_20-45-47.BMP,0,0,1,0.73,0
1A1AI_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY29_2020-11-12_20-45-47.BMP,0,0,0,0.71,0
1A1AI_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY30_2020-11-11_08-27-09.BMP,0,0,0,0.81,0
1A1AI_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY29_2020-11-12_20-45-47.BMP,0,0,0,0.77,0
1A1AI_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY30_2020-11-11_08-27-09.BMP,0,0,0,0.92,0
1A1AM_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY29_2020-11-17_03-20-45.BMP,0,0,0,0.79,0
1A1AM_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY30_2020-11-15_06-41-10.BMP,0,0,1,0.54,0
1A1AM_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY29_2020-11-17_03-20-45.BMP,0,0,0,0.86,0
1A1AM_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY30_2020-11-15_06-41-10.BMP,0,0,0,0.87,0
1A1AM_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY29_2020-11-17_03-20-45.BMP,0,0,0,0.87,0
1A1AM_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY30_2020-11-15_06-41-10.BMP,0,0,0,0.74,0
1A1AM_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY29_2020-11-17_03-20-45.BMP,0,0,0,0.63,0
1A1AM_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY30_2020-11-15_06-41-10.BMP,0,0,0,0.83,0
1A1AM_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY29_2020-11-17_03-20-45.BMP,0,0,0,0.51,0
1A1AM_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY30_2020-11-15_06-41-10.BMP,0,0,1,0.88,0
1A1AM_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY29_2020-11-17_03-20-45.BMP,0,0,1,0.51,0
1A1AM_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY30_2020-11-15_06-41-10.BMP,0,0,1,0.42,0
1A1AO_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY28_2020-11-30_03-57-09.BMP,0,0,0,0.53,0
1A1AO_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY30_2020-11-28_21-06-06.BMP,0,0,1,0.93,0
1A1AO_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY28_2020-11-30_03-57-09.BMP,0,0,0,0.62,0
1A1AO_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY30_2020-11-28_21-06-06.BMP,0,0,1,0.67,0
1A1AO_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY30_2020-11-28_21-06-06.BMP,0,0,0,0.62,0
1A1AO_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY28_2020-11-30_03-57-09.BMP,0,0,0,0.57,0
1A1AO_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY30_2020-11-28_21-06-06.BMP,0,0,1,0.85,0
1A1AO_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY28_2020-11-30_03-57-09.BMP,0,0,0,0.57,0
1A1AO_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY30_2020-11-28_21-06-06.BMP,0,0,1,0.58,0
1A1AO_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY28_2020-11-30_03-57-09.BMP,0,0,0,0.81,0
1A1AO_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY30_2020-11-28_21-06-06.BMP,0,0,0,0.77,0
1A1AO_WP2_CM_MEAS_FIB_{MEASURE}_P008_DX11DY11SDX4SDY28_2020-11-30_03-57-09.BMP,0,0,1,0.78,0
1A1AO_WP2_CM_MEAS_FIB_{MEASURE}_P009_DX3DY12SDX4SDY28_2020-11-30_03-57-09.BMP,0,0,1,0.53,0
1A1AQ_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY30_2020-11-03_06-51-52.BMP,0,0,0,0.49,0
1A1AQ_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY30_2020-11-03_06-51-52.BMP,0,0,0,0.82,0
1A1AQ_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY30_2020-11-03_06-51-52.BMP,0,0,0,0.82,0
1A1AQ_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY30_2020-11-03_06-51-52.BMP,0,0,0,0.86,0
1A1AQ_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY30_2020-11-03_06-51-52.BMP,0,0,1,0.79,0
1A1AQ_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY30_2020-11-03_06-51-52.BMP,0,0,0,0.84,0
1A1B0_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY30_2020-11-12_03-32-04.BMP,0,0,0,0.49,0
1A1B0_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY30_2020-11-12_03-32-04.BMP,0,0,0,0.52,0
1A1B0_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY30_2020-11-12_03-32-04.BMP,0,0,0,0.84,0
1A1B0_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY30_2020-11-12_03-32-04.BMP,0,0,0,0.51,0
1A1B0_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY30_2020-11-12_03-32-04.BMP,0,0,1,0.75,0
1A1B0_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY30_2020-11-12_03-32-04.BMP,0,0,0,0.63,0
1A1B2_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY30_2020-11-02_01-46-47.BMP,0,0,1,0.83,0
1A1B2_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY30_2020-11-02_01-46-47.BMP,0,0,0,0.56,0
1A1B2_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY30_2020-11-02_01-46-47.BMP,0,0,1,0.94,0
1A1B2_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY30_2020-11-02_01-46-47.BMP,0,0,0,0.70,0
1A1B2_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY30_2020-11-02_01-46-47.BMP,0,0,1,0.55,0
1A1B2_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY30_2020-11-02_01-46-47.BMP,0,0,1,0.89,0
1A1BA_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY29_2020-11-11_17-13-09.BMP,0,0,0,0.51,0
1A1BA_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY29_2020-11-11_17-13-09.BMP,0,0,0,0.45,0
1A1BA_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY29_2020-11-11_17-13-09.BMP,0,0,0,0.65,0
1A1BA_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY29_2020-11-11_17-13-09.BMP,0,0,0,0.40,0
1A1BA_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY29_2020-11-11_17-13-09.BMP,0,0,0,0.60,0
1A1BA_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY29_2020-11-11_17-13-09.BMP,0,0,0,0.45,0
1A1BG_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY29_2020-12-03_05-53-07.BMP,0,0,1,0.40,0
1A1BG_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY30_2020-12-01_17-08-09.BMP,0,0,0,0.70,0
1A1BG_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY29_2020-12-03_05-53-07.BMP,0,0,1,0.88,0
1A1BG_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY30_2020-12-01_17-08-09.BMP,0,0,0,0.93,0
1A1BG_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY29_2020-12-03_05-53-07.BMP,0,0,0,0.49,0
1A1BG_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY30_2020-12-01_17-08-09.BMP,0,0,0,0.84,0
1A1BG_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY29_2020-12-03_05-53-07.BMP,0,0,0,0.93,0
1A1BG_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY30_2020-12-01_17-08-09.BMP,0,0,0,0.85,0
1A1BG_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY29_2020-12-03_05-53-07.BMP,0,0,1,0.53,0
1A1BG_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY30_2020-12-01_17-08-09.BMP,0,0,1,0.86,0
1A1BG_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY29_2020-12-03_05-53-07.BMP,0,0,0,0.80,0
1A1BG_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY30_2020-12-01_17-08-09.BMP,0,0,0,0.70,0
1A1BI_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY29_2020-11-29_07-30-30.BMP,0,0,0,0.77,0
1A1BI_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY30_2020-11-28_21-52-49.BMP,0,0,1,0.42,0
1A1BI_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY29_2020-11-29_07-30-30.BMP,0,0,0,0.91,0
1A1BI_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY30_2020-11-28_21-52-49.BMP,0,0,1,0.53,0
1A1BI_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY29_2020-11-29_07-30-30.BMP,0,0,0,0.55,0
1A1BI_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY30_2020-11-28_21-52-49.BMP,0,0,0,0.70,0
1A1BI_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY29_2020-11-29_07-30-30.BMP,0,0,0,0.60,0
1A1BI_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY30_2020-11-28_21-52-49.BMP,0,0,0,0.59,0
1A1BI_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY29_2020-11-29_07-30-30.BMP,0,0,0,0.66,0
1A1BI_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY30_2020-11-28_21-52-49.BMP,0,0,0,0.58,0
1A1BI_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY29_2020-11-29_07-30-30.BMP,0,0,0,0.73,0
1A1BI_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY30_2020-11-28_21-52-49.BMP,0,0,0,0.50,0
1A1BO_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY29_2020-11-22_15-27-46.BMP,0,0,0,0.58,0
1A1BO_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY29_2020-11-22_15-27-46.BMP,0,0,0,0.46,0
1A1BO_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY29_2020-11-22_15-27-46.BMP,0,0,0,0.58,0
1A1BO_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY29_2020-11-22_15-27-46.BMP,0,0,0,0.43,0
1A1BO_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY29_2020-11-22_15-27-46.BMP,0,0,0,0.46,0
1A1BO_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY29_2020-11-22_15-27-46.BMP,0,0,0,0.53,0
1A1BQ_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY30_2020-12-04_14-37-13.BMP,0,0,0,0.82,0
1A1BQ_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY30_2020-12-04_14-37-13.BMP,0,0,1,0.74,0
1A1BQ_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY30_2020-12-04_14-37-13.BMP,0,0,0,0.60,0
1A1BQ_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY30_2020-12-04_14-37-13.BMP,0,0,0,0.66,0
1A1BQ_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY30_2020-12-04_14-37-13.BMP,0,0,1,0.73,0
1A1BQ_WP2_CM_MEAS_FIB_{MEASURE}_P007_DX17DY6SDX6SDY30_2020-12-04_14-37-13.BMP,0,0,1,0.40,0
1A1BU_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY28_2020-12-17_00-56-01.BMP,0,0,0,0.81,0
1A1BU_WP2_CM_MEAS_FIB_{MEASURE}_P002_DX11DY14SDX6SDY29_2020-12-16_01-27-36.BMP,0,0,0,0.47,0
1A1BU_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY29_2020-12-16_01-27-36.BMP,0,0,1,0.70,0
1A1BU_WP2_CM_MEAS_FIB_{MEASURE}_P003_DX3DY12SDX6SDY30_2020-12-15_21-22-22.BMP,0,0,0,0.85,0
1A1BU_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY28_2020-12-17_00-56-01.BMP,0,0,0,0.63,0
1A1BU_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY29_2020-12-16_01-27-36.BMP,0,0,1,0.50,0
1A1BU_WP2_CM_MEAS_FIB_{MEASURE}_P004_DX11DY11SDX6SDY30_2020-12-15_21-22-22.BMP,0,0,0,0.80,0
1A1BU_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY28_2020-12-17_00-56-01.BMP,0,0,0,0.55,0
1A1BU_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY29_2020-12-16_01-27-36.BMP,0,0,1,0.59,0
1A1BU_WP2_CM_MEAS_FIB_{MEASURE}_P005_DX11DY9SDX6SDY30_2020-12-15_21-22-22.BMP,0,0,0,0.94,0
1A1BU_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY28_2020-12-17_00-56-01.BMP,0,0,0,0.41,0
1A1BU_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY29_2020-12-16_01-27-36.BMP,0,0,0,0.74,0
1A1BU_WP2_CM_MEAS_FIB_{MEASURE}_P006_DX8DY7SDX6SDY30_2020-12-15_21-22-22.BMP,0,0,1,0.93,0
