,file name,label,vanti,train \ test,score,vanti with PR
24,1A1HI_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX15DY8SDX5SDY16_2020-10-19_03-48-47.JPG,0,0,1,0.48,0.0
25,1A1HI_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX4DY12SDX7SDY40_2020-10-19_03-48-47.JPG,0,0,0,0.62,0.0
27,1A1HK_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX6DY11SDX8SDY22_2020-11-17_03-34-16.JPG,0,0,0,0.58,0.0
29,1A1HK_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX1SDY11_2020-11-17_03-34-16.JPG,0,0,0,0.81,0.0
32,1A1HK_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX4SDY9_2020-11-17_03-34-16.JPG,0,0,0,0.82,0.0
34,1A1HK_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX16DY11SDX2SDY33_2020-11-17_03-34-16.JPG,0,0,0,0.69,0.0
35,1A1HM_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX3DY8SDX4SDY30_2020-11-28_10-46-21.JPG,0,0,0,0.61,0.0
36,1A1HM_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX8SDY22_2020-11-28_10-46-21.JPG,0,0,0,0.44,0.0
37,1A1HM_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX12DY6SDX1SDY11_2020-11-28_10-46-21.JPG,0,0,0,0.93,0.0
39,1A1HM_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX8DY13SDX11SDY29_2020-11-28_10-46-21.JPG,0,0,0,0.93,0.0
40,1A1HM_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX11SDY29_2020-11-28_10-46-21.JPG,0,0,0,0.93,0.0
41,1A1HM_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX7DY5SDX2SDY33_2020-11-28_10-46-21.JPG,0,0,0,0.92,0.0
42,1A1HO_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX6DY11SDX8SDY22_2020-10-26_07-39-12.JPG,0,0,0,0.48,0.0
44,1A1HO_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX5DY9SDX9SDY34_2020-10-26_07-39-12.JPG,0,0,0,0.77,0.0
47,1A1HO_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX13SDY45_2020-10-26_07-39-12.JPG,0,0,1,0.53,0.0
51,1A1HS_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX3DY8SDX8SDY22_2020-10-20_04-05-17.JPG,0,0,0,0.55,0.0
52,1A1HS_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX6DY11SDX4SDY30_2020-10-20_04-05-17.JPG,0,0,0,0.76,0.0
54,1A1HS_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX2SDY40_2020-10-20_04-05-17.JPG,0,0,0,0.74,0.0
55,1A1HS_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX6SDY24_2020-10-20_04-05-17.JPG,0,0,0,0.66,0.0
57,1A1HS_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX14SDY27_2020-10-20_04-05-17.JPG,0,0,1,0.57,0.0
59,1A1HS_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX10DY4SDX13SDY18_2020-10-20_04-05-17.JPG,0,0,0,0.7,0.0
61,1A1HU_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX16DY5SDX12SDY6_2020-10-23_23-11-57.JPG,0,0,0,0.94,0.0
62,1A1HU_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY12SDX14SDY27_2020-10-23_23-11-57.JPG,0,0,0,0.65,0.0
66,1A1HW_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX4DY6SDX6SDY24_2020-10-22_02-13-31.JPG,0,0,0,0.4,0.0
69,1A1HW_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX7DY5SDX13SDY18_2020-10-22_02-13-31.JPG,0,0,0,0.8,0.0
71,1A1I6_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX9SDY34_2020-11-17_03-04-17.JPG,0,0,0,0.88,0.0
72,1A1I6_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX5SDY16_2020-11-17_03-04-17.JPG,0,0,0,0.75,0.0
73,1A1I6_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX15DY8SDX10SDY15_2020-11-17_03-04-17.JPG,0,0,1,0.5,0.0
74,1A1I6_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX11SDY29_2020-11-17_03-04-17.JPG,0,0,0,0.91,0.0
75,1A1I6_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY12SDX11SDY29_2020-11-17_03-04-17.JPG,0,0,0,0.58,0.0
77,1A1I6_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX16DY11SDX2SDY33_2020-11-17_03-04-17.JPG,0,1,1,0.44,0.0
79,1A1I8_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX4DY6SDX2SDY40_2020-11-27_08-55-06.JPG,0,0,0,0.61,0.0
80,1A1I8_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX2SDY40_2020-11-27_08-55-06.JPG,0,0,1,0.64,0.0
81,1A1I8_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX12SDY6_2020-11-27_08-55-06.JPG,0,0,0,0.6,0.0
82,1A1I8_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX8DY10SDX5SDY16_2020-11-27_08-55-06.JPG,0,0,1,0.78,0.0
83,1A1I8_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX8DY10SDX10SDY15_2020-11-27_08-55-06.JPG,0,0,1,0.57,0.0
85,1A1I8_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX8DY13SDX8SDY11_2020-11-27_08-55-06.JPG,0,0,0,0.41,0.0
87,1A1I8_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX17DY8SDX11SDY29_2020-11-27_08-55-06.JPG,0,0,1,0.93,0.0
88,1A1I8_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX4DY12SDX13SDY18_2020-11-27_08-55-06.JPG,0,0,1,0.71,0.0
90,1A1IA_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX4SDY30_2020-11-17_03-12-24.JPG,0,0,1,0.57,0.0
91,1A1IA_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX4DY6SDX12SDY6_2020-11-17_03-12-24.JPG,0,0,0,0.56,0.0
92,1A1IA_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX8DY10SDX5SDY37_2020-11-17_03-12-24.JPG,0,0,0,0.81,0.0
93,1A1IA_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX9DY7SDX10SDY15_2020-11-17_03-12-24.JPG,0,0,1,0.73,0.0
94,1A1IA_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX8DY13SDX14SDY27_2020-11-17_03-12-24.JPG,0,0,0,0.52,0.0
95,1A1IA_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX11SDY29_2020-11-17_03-12-24.JPG,0,0,0,0.84,0.0
97,1A1IA_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX7DY5SDX13SDY18_2020-11-17_03-12-24.JPG,0,0,1,0.54,0.0
98,1A1IA_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX16DY11SDX2SDY33_2020-11-17_03-12-24.JPG,0,0,0,0.67,0.0
99,1A1IC_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX4DY6SDX9SDY34_2020-10-21_22-33-23.JPG,0,0,0,0.41,0.0
101,1A1IC_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX9DY7SDX13SDY45_2020-10-21_22-33-23.JPG,0,0,1,0.9,0.0
103,1A1IC_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX17DY8SDX4SDY9_2020-10-21_22-33-23.JPG,0,0,0,0.7,0.0
104,1A1IC_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX10DY4SDX13SDY18_2020-10-21_22-33-23.JPG,0,0,1,0.43,0.0
107,1A1IE_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX8DY10SDX13SDY45_2020-10-20_21-18-26.JPG,0,0,0,0.65,0.0
109,1A1IE_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX15DY8SDX5SDY37_2020-10-20_21-18-26.JPG,0,0,0,0.61,0.0
111,1A1IE_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX17DY8SDX4SDY9_2020-10-20_21-18-26.JPG,0,0,0,0.88,0.0
112,1A1IE_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX16DY11SDX13SDY18_2020-10-20_21-18-26.JPG,0,0,0,0.48,0.0
113,1A1IG_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX12DY6SDX4SDY30_2020-11-18_15-37-20.JPG,0,0,0,0.41,0.0
114,1A1IG_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX4DY6SDX2SDY40_2020-11-18_15-37-20.JPG,0,0,0,0.68,0.0
115,1A1IG_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX15DY8SDX10SDY15_2020-11-18_15-37-20.JPG,0,0,0,0.4,0.0
116,1A1IG_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX8DY13SDX4SDY9_2020-11-18_15-37-20.JPG,0,0,0,0.66,0.0
117,1A1IG_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX8DY13SDX8SDY11_2020-11-18_15-37-20.JPG,0,0,0,0.7,0.0
118,1A1IG_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX4SDY9_2020-11-18_15-37-20.JPG,0,1,1,0.16,0.0
119,1A1IG_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX8SDY11_2020-11-18_15-37-20.JPG,0,0,1,0.72,0.0
121,1A1II_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX5DY9SDX12SDY6_2020-12-06_03-03-24.JPG,0,0,0,0.94,0.0
122,1A1II_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX9DY7SDX5SDY37_2020-12-06_03-03-24.JPG,0,0,0,0.55,0.0
123,1A1II_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX8DY13SDX4SDY9_2020-12-06_03-03-24.JPG,0,0,1,0.49,0.0
124,1A1II_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX11SDY29_2020-12-06_03-03-24.JPG,0,0,0,0.55,0.0
126,1A1II_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX4DY12SDX13SDY18_2020-12-06_03-03-24.JPG,0,0,0,0.43,0.0
127,1A1II_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX16DY11SDX2SDY33_2020-12-06_03-03-24.JPG,0,0,1,0.52,0.0
128,1A1J6_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX6DY11SDX4SDY30_2020-11-18_09-40-39.JPG,0,0,0,0.77,0.0
129,1A1J6_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX6DY11SDX12SDY42_2020-11-18_09-40-39.JPG,0,0,1,0.74,0.0
130,1A1J6_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX12DY6SDX1SDY11_2020-11-18_09-40-39.JPG,0,0,0,0.8,0.0
132,1A1J6_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX5DY9SDX9SDY34_2020-11-18_09-40-39.JPG,0,0,1,0.44,0.0
133,1A1J6_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX16DY5SDX2SDY40_2020-11-18_09-40-39.JPG,0,0,0,0.51,0.0
135,1A1J6_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY12SDX11SDY29_2020-11-18_09-40-39.JPG,0,0,1,0.6,0.0
136,1A1JC_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX1SDY11_2020-11-18_09-40-39.JPG,0,0,0,0.49,0.0
137,1A1JC_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX4DY6SDX2SDY40_2020-11-18_09-40-39.JPG,0,0,0,0.46,0.0
138,1A1JC_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX9SDY34_2020-11-18_09-40-39.JPG,0,0,1,0.7,0.0
139,1A1JC_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX9DY7SDX10SDY15_2020-11-18_09-40-39.JPG,0,0,0,0.92,0.0
140,1A1JC_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX15DY8SDX13SDY45_2020-11-18_09-40-39.JPG,0,0,0,0.84,0.0
141,1A1JC_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX8SDY11_2020-11-18_09-40-39.JPG,0,0,1,0.44,0.0
142,1A1JC_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX11SDY29_2020-11-18_09-40-39.JPG,0,0,1,0.49,0.0
143,1A1JC_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY12SDX8SDY11_2020-11-18_09-40-39.JPG,0,0,1,0.83,0.0
144,1A1JC_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX10DY4SDX2SDY33_2020-11-18_09-40-39.JPG,0,0,0,0.47,0.0
145,1A1JC_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX10DY4SDX7SDY40_2020-11-18_09-40-39.JPG,0,0,1,0.81,0.0
146,1A1JC_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX10DY4SDX13SDY18_2020-11-18_09-40-39.JPG,0,0,0,0.45,0.0
147,1A1JM_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX3DY8SDX12SDY42_2020-10-31_10-37-01.JPG,0,0,1,0.63,0.0
150,1A1JM_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX8DY10SDX10SDY15_2020-10-31_10-37-01.JPG,0,0,0,0.56,0.0
151,1A1JM_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX9DY7SDX5SDY37_2020-10-31_10-37-01.JPG,0,0,1,0.69,0.0
152,1A1JM_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX8DY13SDX4SDY9_2020-10-31_10-37-01.JPG,0,0,0,0.63,0.0
155,1A1JQ_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX1SDY11_2020-11-17_07-19-41.JPG,0,0,0,0.93,0.0
157,1A1JQ_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX5DY9SDX6SDY24_2020-11-17_07-19-41.JPG,0,0,1,0.94,0.0
158,1A1JQ_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX6SDY24_2020-11-17_07-19-41.JPG,0,0,0,0.52,0.0
159,1A1JQ_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX9DY7SDX13SDY45_2020-11-17_07-19-41.JPG,0,0,0,0.58,0.0
161,1A1K6_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX3DY8SDX12SDY42_2020-11-18_14-27-20.JPG,0,0,0,0.66,0.0
162,1A1K6_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX12DY6SDX4SDY30_2020-11-18_14-27-20.JPG,0,0,0,0.7,0.0
164,1A1K6_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX15DY8SDX5SDY16_2020-11-18_14-27-20.JPG,0,0,0,0.48,0.0
165,1A1K6_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX15DY8SDX5SDY37_2020-11-18_14-27-20.JPG,0,0,0,0.47,0.0
166,1A1K6_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX8DY13SDX8SDY11_2020-11-18_14-27-20.JPG,0,0,0,0.76,0.0
167,1A1K6_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX4SDY9_2020-11-18_14-27-20.JPG,0,0,0,0.43,0.0
168,1A1K6_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX17DY8SDX8SDY11_2020-11-18_14-27-20.JPG,0,0,0,0.92,0.0
169,1A1K6_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX4DY12SDX2SDY33_2020-11-18_14-27-20.JPG,0,0,0,0.57,0.0
170,1A1K6_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX16DY11SDX3SDY20_2020-11-18_14-27-20.JPG,0,0,0,0.78,0.0
172,1A1K8_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX4DY6SDX12SDY6_2020-10-22_03-45-25.JPG,0,0,1,0.44,0.0
173,1A1K8_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX16DY5SDX9SDY34_2020-10-22_03-45-25.JPG,0,0,0,0.71,0.0
180,1A1K8_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX17DY8SDX11SDY29_2020-10-22_03-45-25.JPG,0,0,0,0.9,0.0
181,1A1KA_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX4DY6SDX2SDY40_2020-11-17_21-05-55.JPG,0,0,0,0.88,0.0
182,1A1KA_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX10SDY15_2020-11-17_21-05-55.JPG,0,0,0,0.69,0.0
184,1A1KA_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX14SDY27_2020-11-17_21-05-55.JPG,0,0,0,0.91,0.0
185,1A1KA_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX7DY5SDX2SDY33_2020-11-17_21-05-55.JPG,0,0,0,0.8,0.0
186,1A1KA_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX7DY5SDX7SDY40_2020-11-17_21-05-55.JPG,0,0,1,0.86,0.0
188,1A1KA_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX16DY11SDX3SDY20_2020-11-17_21-05-55.JPG,0,0,0,0.55,0.0
189,1A1KE_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX12SDY42_2020-11-16_20-01-38.JPG,0,0,0,0.72,0.0
190,1A1KE_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX12DY6SDX4SDY30_2020-11-16_20-01-38.JPG,0,0,0,0.52,0.0
191,1A1KE_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX2SDY40_2020-11-16_20-01-38.JPG,0,0,0,0.74,0.0
192,1A1KE_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX11SDY29_2020-11-16_20-01-38.JPG,0,0,1,0.41,0.0
193,1A1KE_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX14SDY27_2020-11-16_20-01-38.JPG,0,0,0,0.55,0.0
195,1A1KE_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY12SDX11SDY29_2020-11-16_20-01-38.JPG,0,0,0,0.56,0.0
200,1A1KG_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX13SDY45_2020-11-18_15-24-30.JPG,0,0,1,0.4,0.0
201,1A1KG_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX8DY13SDX11SDY29_2020-11-18_15-24-30.JPG,0,0,0,0.48,0.0
202,1A1KG_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY12SDX4SDY9_2020-11-18_15-24-30.JPG,0,0,0,0.74,0.0
203,1A1KG_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX17DY8SDX11SDY29_2020-11-18_15-24-30.JPG,0,0,0,0.7,0.0
204,1A1KG_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX7DY5SDX3SDY20_2020-11-18_15-24-30.JPG,0,0,1,0.71,0.0
213,1A1KK_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX5DY9SDX12SDY6_2020-11-18_05-45-16.JPG,0,0,0,0.74,0.0
214,1A1KK_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX12SDY6_2020-11-18_05-45-16.JPG,0,0,1,0.42,0.0
215,1A1KK_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX16DY5SDX9SDY34_2020-11-18_05-45-16.JPG,0,0,0,0.64,0.0
216,1A1KK_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX9DY7SDX5SDY37_2020-11-18_05-45-16.JPG,0,0,1,0.6,0.0
217,1A1KK_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX8SDY11_2020-11-18_05-45-16.JPG,0,0,1,0.86,0.0
223,1A1KM_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX15DY8SDX10SDY15_2020-11-19_20-13-08.JPG,0,0,0,0.92,0.0
225,1A1KM_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX4SDY9_2020-11-19_20-13-08.JPG,0,0,0,0.66,0.0
229,1A1KM_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX17DY8SDX14SDY27_2020-11-19_20-13-08.JPG,0,0,1,0.88,0.0
233,1A1KM_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX16DY11SDX13SDY18_2020-11-19_20-13-08.JPG,0,0,0,0.71,0.0
